Index,lon,lat,row_number,col_number,annual_potential (MWh),provin
178,101.562500,22.000000,449,902,23848.665857,Yunnan
181,106.875000,22.000000,449,919,1428155.153981,Guangxi
182,107.187500,22.000000,449,920,156416.837532,Guangxi
183,107.500000,22.000000,449,921,196655.244958,Guangxi
184,107.812500,22.000000,449,922,361621.021511,Guangxi
185,108.125000,22.000000,449,923,1344108.240764,Guangxi
186,108.437500,22.000000,449,924,1344108.240764,Guangxi
187,108.750000,22.000000,449,925,2441692.024243,Guangxi
188,109.062500,22.000000,449,926,2441692.024243,Guangxi
189,109.375000,22.000000,449,927,2928297.824315,Guangxi
190,109.687500,22.000000,449,928,3116865.495944,Guangxi
191,110.000000,22.000000,449,929,2991465.662774,Guangxi
192,110.312500,22.000000,449,930,2991465.662774,Guangxi
193,110.625000,22.000000,449,931,3113633.943186,Guangdong
194,110.937500,22.000000,449,932,3226965.894864,Guangdong
195,111.250000,22.000000,449,933,3610486.419695,Guangdong
196,111.562500,22.000000,449,934,2319567.598000,Guangdong
197,111.875000,22.000000,449,935,2088575.951807,Guangdong
198,112.187500,22.000000,449,936,2088575.951807,Guangdong
199,112.500000,22.000000,449,937,948235.935852,Guangdong
200,112.812500,22.000000,449,938,948235.935852,Guangdong
201,113.125000,22.000000,449,939,1927557.080042,Guangdong
202,113.437500,22.000000,449,940,822743.836968,Guangdong
210,99.375000,22.250000,450,895,24035.148350,Yunnan
211,99.687500,22.250000,450,896,165786.306170,Yunnan
212,100.000000,22.250000,450,897,351761.927623,Yunnan
213,100.312500,22.250000,450,898,1511326.314283,Yunnan
214,100.625000,22.250000,450,899,361135.582366,Yunnan
215,100.937500,22.250000,450,900,548198.136806,Yunnan
216,101.250000,22.250000,450,901,22410.055634,Yunnan
217,101.562500,22.250000,450,902,22410.055634,Yunnan
219,106.875000,22.250000,450,919,1428155.153981,Guangxi
220,107.187500,22.250000,450,920,1428155.153981,Guangxi
221,107.500000,22.250000,450,921,1941442.858737,Guangxi
222,107.812500,22.250000,450,922,2781692.266365,Guangxi
223,108.125000,22.250000,450,923,3252181.109934,Guangxi
224,108.437500,22.250000,450,924,1163735.069919,Guangxi
225,108.750000,22.250000,450,925,4237073.149034,Guangxi
226,109.062500,22.250000,450,926,3446426.988184,Guangxi
227,109.375000,22.250000,450,927,3169586.524516,Guangxi
228,109.687500,22.250000,450,928,2303031.340798,Guangxi
229,110.000000,22.250000,450,929,2303031.340798,Guangxi
230,110.312500,22.250000,450,930,2876860.406694,Guangxi
231,110.625000,22.250000,450,931,2792601.069599,Guangxi
232,110.937500,22.250000,450,932,2792601.069599,Guangdong
233,111.250000,22.250000,450,933,2758600.082473,Guangdong
234,111.562500,22.250000,450,934,1912031.345060,Guangdong
235,111.875000,22.250000,450,935,2042228.848804,Guangdong
236,112.187500,22.250000,450,936,2517745.005477,Guangdong
237,112.500000,22.250000,450,937,1476278.536327,Guangdong
238,112.812500,22.250000,450,938,1476278.536327,Guangdong
239,113.125000,22.250000,450,939,822743.836968,Guangdong
240,113.437500,22.250000,450,940,822743.836968,Guangdong
248,99.687500,22.500000,451,896,2030061.067697,Yunnan
249,100.000000,22.500000,451,897,791605.404666,Yunnan
250,100.312500,22.500000,451,898,1246253.610901,Yunnan
251,100.625000,22.500000,451,899,361135.582366,Yunnan
252,100.937500,22.500000,451,900,124275.131313,Yunnan
253,101.250000,22.500000,451,901,22410.055634,Yunnan
254,101.562500,22.500000,451,902,22410.055634,Yunnan
255,101.875000,22.500000,451,903,285931.234486,Yunnan
256,102.187500,22.500000,451,904,16306.024490,Yunnan
259,103.125000,22.500000,451,907,3585.426925,Yunnan
264,106.875000,22.500000,451,919,253467.516779,Guangxi
265,107.187500,22.500000,451,920,3324390.486013,Guangxi
266,107.500000,22.500000,451,921,3324390.486013,Guangxi
267,107.812500,22.500000,451,922,4589760.383796,Guangxi
268,108.125000,22.500000,451,923,2901001.063748,Guangxi
269,108.437500,22.500000,451,924,2716361.867759,Guangxi
270,108.750000,22.500000,451,925,3437731.975090,Guangxi
271,109.062500,22.500000,451,926,3138178.538998,Guangxi
272,109.375000,22.500000,451,927,3231341.105013,Guangxi
273,109.687500,22.500000,451,928,1644363.805587,Guangxi
274,110.000000,22.500000,451,929,2288334.362972,Guangxi
275,110.312500,22.500000,451,930,2029750.601411,Guangxi
276,110.625000,22.500000,451,931,2688685.825999,Guangxi
277,110.937500,22.500000,451,932,2979959.653212,Guangdong
278,111.250000,22.500000,451,933,2979959.653212,Guangdong
279,111.562500,22.500000,451,934,700902.354563,Guangdong
280,111.875000,22.500000,451,935,1373463.692483,Guangdong
281,112.187500,22.500000,451,936,1415157.182006,Guangdong
282,112.500000,22.500000,451,937,2963331.610387,Guangdong
283,112.812500,22.500000,451,938,2963331.610387,Guangdong
284,113.125000,22.500000,451,939,2984842.201186,Guangdong
285,113.437500,22.500000,451,940,2901631.985373,Guangdong
294,99.375000,22.750000,452,895,260629.655024,Yunnan
295,99.687500,22.750000,452,896,1833462.247148,Yunnan
296,100.000000,22.750000,452,897,1246253.610901,Yunnan
297,100.312500,22.750000,452,898,491473.814957,Yunnan
298,100.625000,22.750000,452,899,734340.545567,Yunnan
299,100.937500,22.750000,452,900,519053.014572,Yunnan
300,101.250000,22.750000,452,901,160683.677553,Yunnan
301,101.562500,22.750000,452,902,202483.174926,Yunnan
302,101.875000,22.750000,452,903,88555.582458,Yunnan
303,102.187500,22.750000,452,904,42966.981997,Yunnan
305,102.812500,22.750000,452,906,301828.510976,Yunnan
306,103.125000,22.750000,452,907,301828.510976,Yunnan
307,103.437500,22.750000,452,908,201475.538831,Yunnan
308,103.750000,22.750000,452,909,136774.942035,Yunnan
309,104.062500,22.750000,452,910,567768.290271,Yunnan
310,104.375000,22.750000,452,911,480490.753569,Yunnan
314,106.875000,22.750000,452,919,3803679.784972,Guangxi
315,107.187500,22.750000,452,920,3803679.784972,Guangxi
316,107.500000,22.750000,452,921,4056356.824183,Guangxi
317,107.812500,22.750000,452,922,4213565.544765,Guangxi
318,108.125000,22.750000,452,923,3228646.621457,Guangxi
319,108.437500,22.750000,452,924,3228646.621457,Guangxi
320,108.750000,22.750000,452,925,4141573.725938,Guangxi
321,109.062500,22.750000,452,926,3574912.190584,Guangxi
322,109.375000,22.750000,452,927,2467502.570652,Guangxi
323,109.687500,22.750000,452,928,1079784.747191,Guangxi
324,110.000000,22.750000,452,929,2267836.929568,Guangxi
325,110.312500,22.750000,452,930,2267836.929568,Guangxi
326,110.625000,22.750000,452,931,1163043.251264,Guangxi
327,110.937500,22.750000,452,932,2003432.849779,Guangxi
328,111.250000,22.750000,452,933,1059573.924614,Guangdong
329,111.562500,22.750000,452,934,1159322.440153,Guangdong
330,111.875000,22.750000,452,935,1159322.440153,Guangdong
331,112.187500,22.750000,452,936,488337.886155,Guangdong
332,112.500000,22.750000,452,937,2258431.054283,Guangdong
333,112.812500,22.750000,452,938,2258431.054283,Guangdong
334,113.125000,22.750000,452,939,2449386.887649,Guangdong
335,113.437500,22.750000,452,940,6018278.602138,Guangdong
336,113.750000,22.750000,452,941,303502.590599,Guangdong
337,114.062500,22.750000,452,942,303502.590599,Guangdong
338,114.375000,22.750000,452,943,3525921.901413,Guangdong
340,115.000000,22.750000,452,945,156137.900619,Guangdong
352,99.687500,23.000000,453,896,1097029.705078,Yunnan
353,100.000000,23.000000,453,897,777179.655402,Yunnan
354,100.312500,23.000000,453,898,734116.967306,Yunnan
355,100.625000,23.000000,453,899,519053.014572,Yunnan
356,100.937500,23.000000,453,900,808774.505553,Yunnan
357,101.250000,23.000000,453,901,202483.174926,Yunnan
358,101.562500,23.000000,453,902,108349.570708,Yunnan
359,101.875000,23.000000,453,903,88555.582458,Yunnan
360,102.187500,23.000000,453,904,220164.447650,Yunnan
361,102.500000,23.000000,453,905,116408.418149,Yunnan
362,102.812500,23.000000,453,906,301828.510976,Yunnan
363,103.125000,23.000000,453,907,301828.510976,Yunnan
364,103.437500,23.000000,453,908,201475.538831,Yunnan
365,103.750000,23.000000,453,909,415379.664340,Yunnan
366,104.062500,23.000000,453,910,480490.753569,Yunnan
367,104.375000,23.000000,453,911,480490.753569,Yunnan
368,104.687500,23.000000,453,912,73098.910931,Yunnan
371,105.937500,23.000000,453,916,238792.836921,Guangxi
372,106.250000,23.000000,453,917,60263.921029,Guangxi
373,106.562500,23.000000,453,918,2687025.234809,Guangxi
374,106.875000,23.000000,453,919,2687025.234809,Guangxi
375,107.187500,23.000000,453,920,2687025.234809,Guangxi
376,107.500000,23.000000,453,921,3900517.474224,Guangxi
377,107.812500,23.000000,453,922,3601449.186173,Guangxi
378,108.125000,23.000000,453,923,3601449.186173,Guangxi
379,108.437500,23.000000,453,924,3599913.228662,Guangxi
380,108.750000,23.000000,453,925,3185577.738183,Guangxi
381,109.062500,23.000000,453,926,3185577.738183,Guangxi
382,109.375000,23.000000,453,927,2578444.249333,Guangxi
383,109.687500,23.000000,453,928,2638722.981993,Guangxi
384,110.000000,23.000000,453,929,2282354.110614,Guangxi
385,110.312500,23.000000,453,930,2519944.381298,Guangxi
386,110.625000,23.000000,453,931,1309243.716204,Guangxi
387,110.937500,23.000000,453,932,801976.059604,Guangxi
388,111.250000,23.000000,453,933,801976.059604,Guangxi
389,111.562500,23.000000,453,934,3373766.463265,Guangdong
390,111.875000,23.000000,453,935,3373766.463265,Guangdong
391,112.187500,23.000000,453,936,1681186.235459,Guangdong
392,112.500000,23.000000,453,937,1672731.933888,Guangdong
393,112.812500,23.000000,453,938,1677708.581705,Guangdong
394,113.125000,23.000000,453,939,5330697.868981,Guangdong
395,113.437500,23.000000,453,940,5330697.868981,Guangdong
396,113.750000,23.000000,453,941,4304803.129670,Guangdong
397,114.062500,23.000000,453,942,4716823.565701,Guangdong
398,114.375000,23.000000,453,943,5136723.500164,Guangdong
399,114.687500,23.000000,453,944,5136723.500164,Guangdong
400,115.000000,23.000000,453,945,1466572.858179,Guangdong
401,115.312500,23.000000,453,946,1803794.303909,Guangdong
402,115.625000,23.000000,453,947,1803794.303909,Guangdong
403,115.937500,23.000000,453,948,967725.335425,Guangdong
404,116.250000,23.000000,453,949,82962.859862,Guangdong
405,116.562500,23.000000,453,950,2618013.076864,Guangdong
412,99.062500,23.250000,454,894,49198.188982,Yunnan
413,99.375000,23.250000,454,895,68237.315779,Yunnan
414,99.687500,23.250000,454,896,823271.204552,Yunnan
415,100.000000,23.250000,454,897,744484.994266,Yunnan
416,100.312500,23.250000,454,898,870513.839140,Yunnan
417,100.625000,23.250000,454,899,119789.427003,Yunnan
418,100.937500,23.250000,454,900,735807.281122,Yunnan
419,101.250000,23.250000,454,901,461829.506786,Yunnan
420,101.562500,23.250000,454,902,108349.570708,Yunnan
421,101.875000,23.250000,454,903,220164.447650,Yunnan
422,102.187500,23.250000,454,904,669300.662315,Yunnan
423,102.500000,23.250000,454,905,432076.151857,Yunnan
424,102.812500,23.250000,454,906,1039112.229129,Yunnan
425,103.125000,23.250000,454,907,315604.717726,Yunnan
426,103.437500,23.250000,454,908,315604.717726,Yunnan
427,103.750000,23.250000,454,909,475721.656238,Yunnan
428,104.062500,23.250000,454,910,2153452.108960,Yunnan
429,104.375000,23.250000,454,911,2976297.231336,Yunnan
430,104.687500,23.250000,454,912,878257.415215,Yunnan
431,105.000000,23.250000,454,913,2885070.891638,Yunnan
433,105.625000,23.250000,454,915,238792.836921,Guangxi
434,105.937500,23.250000,454,916,1503696.321383,Guangxi
435,106.250000,23.250000,454,917,3844565.744822,Guangxi
436,106.562500,23.250000,454,918,3844565.744822,Guangxi
437,106.875000,23.250000,454,919,4058610.255147,Guangxi
438,107.187500,23.250000,454,920,4058610.255147,Guangxi
439,107.500000,23.250000,454,921,4242227.832755,Guangxi
440,107.812500,23.250000,454,922,4242227.832755,Guangxi
441,108.125000,23.250000,454,923,3445920.906656,Guangxi
442,108.437500,23.250000,454,924,3009570.753559,Guangxi
443,108.750000,23.250000,454,925,1426303.616358,Guangxi
444,109.062500,23.250000,454,926,1426303.616358,Guangxi
445,109.375000,23.250000,454,927,2023306.268229,Guangxi
446,109.687500,23.250000,454,928,3252150.391698,Guangxi
447,110.000000,23.250000,454,929,3252150.391698,Guangxi
448,110.312500,23.250000,454,930,2357721.766250,Guangxi
449,110.625000,23.250000,454,931,471824.504259,Guangxi
450,110.937500,23.250000,454,932,1296467.014833,Guangxi
451,111.250000,23.250000,454,933,800179.933772,Guangxi
452,111.562500,23.250000,454,934,949106.347494,Guangdong
453,111.875000,23.250000,454,935,1574850.574154,Guangdong
454,112.187500,23.250000,454,936,1574850.574154,Guangdong
455,112.500000,23.250000,454,937,2475337.894595,Guangdong
456,112.812500,23.250000,454,938,3781817.038892,Guangdong
457,113.125000,23.250000,454,939,3781817.038892,Guangdong
458,113.437500,23.250000,454,940,8614646.422849,Guangdong
459,113.750000,23.250000,454,941,5867361.113036,Guangdong
460,114.062500,23.250000,454,942,8420731.349745,Guangdong
461,114.375000,23.250000,454,943,6018937.730251,Guangdong
462,114.687500,23.250000,454,944,4146182.823789,Guangdong
463,115.000000,23.250000,454,945,1447729.633704,Guangdong
464,115.312500,23.250000,454,946,1447729.633704,Guangdong
465,115.625000,23.250000,454,947,3212028.360771,Guangdong
466,115.937500,23.250000,454,948,3549002.630857,Guangdong
467,116.250000,23.250000,454,949,2618013.076864,Guangdong
468,116.562500,23.250000,454,950,2618013.076864,Guangdong
480,99.062500,23.500000,455,894,470501.984372,Yunnan
481,99.375000,23.500000,455,895,907360.593978,Yunnan
482,99.687500,23.500000,455,896,611558.326123,Yunnan
483,100.000000,23.500000,455,897,304395.511850,Yunnan
484,100.312500,23.500000,455,898,527372.744790,Yunnan
485,100.625000,23.500000,455,899,517752.705781,Yunnan
486,100.937500,23.500000,455,900,485612.941099,Yunnan
487,101.250000,23.500000,455,901,108080.923123,Yunnan
488,101.562500,23.500000,455,902,327765.946851,Yunnan
489,101.875000,23.500000,455,903,327765.946851,Yunnan
490,102.187500,23.500000,455,904,307599.221205,Yunnan
491,102.500000,23.500000,455,905,1039112.229129,Yunnan
492,102.812500,23.500000,455,906,1039112.229129,Yunnan
493,103.125000,23.500000,455,907,3133093.206378,Yunnan
494,103.437500,23.500000,455,908,3133093.206378,Yunnan
495,103.750000,23.500000,455,909,5976274.783587,Yunnan
496,104.062500,23.500000,455,910,3755598.350402,Yunnan
497,104.375000,23.500000,455,911,3755598.350402,Yunnan
498,104.687500,23.500000,455,912,6023683.656585,Yunnan
499,105.000000,23.500000,455,913,900083.720987,Yunnan
500,105.312500,23.500000,455,914,900083.720987,Yunnan
501,105.625000,23.500000,455,915,1465698.561628,Yunnan
502,105.937500,23.500000,455,916,2736760.656293,Yunnan
503,106.250000,23.500000,455,917,2736760.656293,Guangxi
504,106.562500,23.500000,455,918,5484799.018836,Guangxi
505,106.875000,23.500000,455,919,3954964.039930,Guangxi
506,107.187500,23.500000,455,920,3954964.039930,Guangxi
507,107.500000,23.500000,455,921,5420809.591072,Guangxi
508,107.812500,23.500000,455,922,3712797.260879,Guangxi
509,108.125000,23.500000,455,923,3905595.800739,Guangxi
510,108.437500,23.500000,455,924,3905595.800739,Guangxi
511,108.750000,23.500000,455,925,2575321.244470,Guangxi
512,109.062500,23.500000,455,926,2305406.413319,Guangxi
513,109.375000,23.500000,455,927,2874649.547702,Guangxi
514,109.687500,23.500000,455,928,2537072.504965,Guangxi
515,110.000000,23.500000,455,929,2484267.453956,Guangxi
516,110.312500,23.500000,455,930,2484267.453956,Guangxi
517,110.625000,23.500000,455,931,1227645.508337,Guangxi
518,110.937500,23.500000,455,932,1269380.277686,Guangxi
519,111.250000,23.500000,455,933,1269380.277686,Guangxi
520,111.562500,23.500000,455,934,1962760.655071,Guangdong
521,111.875000,23.500000,455,935,1962760.655071,Guangdong
522,112.187500,23.500000,455,936,1475145.666351,Guangdong
523,112.500000,23.500000,455,937,565161.506373,Guangdong
524,112.812500,23.500000,455,938,3319345.375507,Guangdong
525,113.125000,23.500000,455,939,5201801.608877,Guangdong
526,113.437500,23.500000,455,940,5201801.608877,Guangdong
527,113.750000,23.500000,455,941,2487809.556979,Guangdong
528,114.062500,23.500000,455,942,1921084.157597,Guangdong
529,114.375000,23.500000,455,943,2877111.216229,Guangdong
530,114.687500,23.500000,455,944,1706511.794657,Guangdong
531,115.000000,23.500000,455,945,1115760.441986,Guangdong
532,115.312500,23.500000,455,946,954267.903234,Guangdong
533,115.625000,23.500000,455,947,1611164.219434,Guangdong
534,115.937500,23.500000,455,948,2277801.797787,Guangdong
535,116.250000,23.500000,455,949,2277801.797787,Guangdong
536,116.562500,23.500000,455,950,4081438.397878,Guangdong
