Index,col,row,lat,lon,suitable_area(m2),Average_CF,Annual potential (GWh),provin
36,434,926,18.25,109.0625,65000000.0,0.145,373.83,Hainan
37,434,927,18.25,109.375,220000000.0,0.11,932.35,Hainan
38,434,928,18.25,109.6875,140000000.0,0.13,730.17,Hainan
39,434,929,18.25,110.0,0.0,0.25,0.0,Hainan
40,435,925,18.5,108.75,340000000.0,0.214,2871.36,Hainan
41,435,926,18.5,109.0625,740000000.0,0.103,3016.96,Hainan
42,435,927,18.5,109.375,310000000.0,0.082,1003.06,Hainan
43,435,928,18.5,109.6875,640000000.0,0.079,2014.37,Hainan
44,435,929,18.5,110.0,550000000.0,0.161,3484.78,Hainan
45,435,930,18.5,110.3125,0.0,0.3,0.0,Hainan
46,436,925,18.75,108.75,350000000.0,0.209,2872.74,Hainan
47,436,926,18.75,109.0625,400000000.0,0.081,1277.12,Hainan
48,436,927,18.75,109.375,410000000.0,0.05,815.94,Hainan
49,436,928,18.75,109.6875,360000000.0,0.049,694.78,Hainan
50,436,929,18.75,110.0,310000000.0,0.096,1168.05,Hainan
51,436,930,18.75,110.3125,490000000.0,0.218,4257.81,Hainan
52,436,931,18.75,110.625,17000000.0,0.34,228.75,Hainan
53,437,925,19.0,108.75,700000000.0,0.269,7380.95,Hainan
54,437,926,19.0,109.0625,410000000.0,0.071,1140.98,Hainan
55,437,927,19.0,109.375,300000000.0,0.046,549.03,Hainan
56,437,928,19.0,109.6875,440000000.0,0.045,790.01,Hainan
57,437,929,19.0,110.0,460000000.0,0.083,1504.38,Hainan
58,437,930,19.0,110.3125,540000000.0,0.142,3049.15,Hainan
59,437,931,19.0,110.625,130000000.0,0.235,1233.56,Hainan
60,438,925,19.25,108.75,690000000.0,0.324,8835.52,Hainan
61,438,926,19.25,109.0625,650000000.0,0.153,3961.73,Hainan
62,438,927,19.25,109.375,650000000.0,0.084,2167.43,Hainan
63,438,928,19.25,109.6875,550000000.0,0.07,1524.58,Hainan
64,438,929,19.25,110.0,750000000.0,0.096,2826.42,Hainan
65,438,930,19.25,110.3125,640000000.0,0.138,3504.8,Hainan
66,438,931,19.25,110.625,360000000.0,0.183,2568.43,Hainan
66,438,931,19.25,110.625,360000000.0,0.183,2568.43,Hainan
67,439,925,19.5,108.75,110000000.0,0.35,1547.36,Hainan
68,439,926,19.5,109.0625,740000000.0,0.183,5326.76,Hainan
69,439,927,19.5,109.375,890000000.0,0.113,3946.04,Hainan
70,439,928,19.5,109.6875,770000000.0,0.096,2937.22,Hainan
71,439,929,19.5,110.0,730000000.0,0.117,3351.9,Hainan
72,439,930,19.5,110.3125,720000000.0,0.152,4302.03,Hainan
73,439,931,19.5,110.625,460000000.0,0.174,3159.77,Hainan
74,439,932,19.5,110.9375,61000000.0,0.306,737.83,Hainan
75,440,926,19.75,109.0625,65000000.0,0.271,696.3,Hainan
76,440,927,19.75,109.375,690000000.0,0.187,5104.19,Hainan
77,440,928,19.75,109.6875,860000000.0,0.158,5350.85,Hainan
78,440,929,19.75,110.0,850000000.0,0.157,5316.7,Hainan
79,440,930,19.75,110.3125,780000000.0,0.195,6011.96,Hainan
80,440,931,19.75,110.625,640000000.0,0.238,6032.11,Hainan
81,440,932,19.75,110.9375,570000000.0,0.354,7998.47,Hainan
82,441,927,20.0,109.375,16000000.0,0.257,162.56,Hainan
83,441,928,20.0,109.6875,230000000.0,0.235,2125.5,Hainan
84,441,929,20.0,110.0,280000000.0,0.211,2312.1,Hainan
85,441,930,20.0,110.3125,380000000.0,0.244,3700.38,Hainan
86,441,931,20.0,110.625,520000000.0,0.307,6309.13,Hainan
87,441,932,20.0,110.9375,250000000.0,0.385,3743.42,Hainan
88,441,933,20.0,111.25,1000000.0,0.415,16.4,Hainan
89,442,929,20.25,110.0,260000000.0,0.277,2806.15,Guangdong
90,442,930,20.25,110.3125,190000000.0,0.295,2171.89,Guangdong
91,442,931,20.25,110.625,8000000.0,0.333,105.45,Hainan
92,443,928,20.5,109.6875,33000000.0,0.265,345.87,Guangdong
93,443,929,20.5,110.0,630000000.0,0.305,7621.99,Guangdong
94,443,930,20.5,110.3125,620000000.0,0.333,8159.91,Guangdong
95,443,931,20.5,110.625,64000000.0,0.339,857.95,Guangdong
96,444,928,20.75,109.6875,270000000.0,0.267,2838.6,Guangdong
97,444,929,20.75,110.0,820000000.0,0.293,9517.7,Guangdong
98,444,930,20.75,110.3125,360000000.0,0.306,4326.18,Guangdong
99,444,931,20.75,110.625,2000000.0,0.327,25.89,Guangdong
102,445,926,21.0,109.0625,13000000.0,0.275,141.18,Guangxi
103,445,927,21.0,109.375,0.0,0.255,0.0,Guangdong
105,445,929,21.0,110.0,840000000.0,0.274,9089.01,Guangdong
106,445,930,21.0,110.3125,210000000.0,0.269,2275.68,Guangdong
107,445,931,21.0,110.625,110000000.0,0.297,1233.18,Guangdong
108,446,901,21.25,101.25,96000000.0,0.011,40.6,Yunnan
109,446,902,21.25,101.5625,8000000.0,0.008,2.52,Yunnan
111,446,928,21.25,109.6875,230000000.0,0.25,2245.33,Guangdong
112,446,929,21.25,110.0,850000000.0,0.254,8587.46,Guangdong
113,446,930,21.25,110.3125,580000000.0,0.252,5806.56,Guangdong
