Index,col,row,lat,lon,suitable_area(m2),Average_CF,Annual potential (GWh)
0,386,939,6.25,113.125,0.0E+00,0.214,0.00
1,389,940,7,113.4375,0.0E+00,0.247,0.00
2,389,941,7,113.75,0.0E+00,0.244,0.00
3,391,941,7.5,113.75,0.0E+00,0.260,0.00
4,392,938,7.75,112.8125,0.0E+00,0.291,0.00
5,393,939,8,113.125,0.0E+00,0.294,0.00
6,393,942,8,114.0625,0.0E+00,0.267,0.00
7,394,940,8.25,113.4375,0.0E+00,0.296,0.00
8,396,935,8.75,111.875,0.0E+00,0.352,0.00
9,396,936,8.75,112.1875,0.0E+00,0.344,0.00
10,396,937,8.75,112.5,0.0E+00,0.337,0.00
11,397,936,9,112.1875,0.0E+00,0.353,0.00
12,397,938,9,112.8125,0.0E+00,0.339,0.00
13,397,941,9,113.75,0.0E+00,0.316,0.00
14,399,938,9.5,112.8125,0.0E+00,0.352,0.00
15,400,943,9.75,114.375,0.0E+00,0.319,0.00
16,401,944,10,114.6875,0.0E+00,0.317,0.00
17,402,943,10.25,114.375,0.0E+00,0.326,0.00
18,403,943,10.5,114.375,0.0E+00,0.328,0.00
19,404,943,10.75,114.375,0.0E+00,0.330,0.00
20,404,948,10.75,115.9375,0.0E+00,0.298,0.00
21,405,943,11,114.375,0.0E+00,0.332,0.00
22,405,945,11,115,0.0E+00,0.317,0.00
23,407,943,11.5,114.375,0.0E+00,0.336,0.00
24,421,954,15,117.8125,0.0E+00,0.216,0.00
25,422,954,15.25,117.8125,0.0E+00,0.217,0.00
26,424,933,15.75,111.25,0.0E+00,0.336,0.00
27,425,935,16,111.875,0.0E+00,0.345,0.00
28,427,934,16.5,111.5625,0.0E+00,0.339,0.00
29,427,935,16.5,111.875,0.0E+00,0.344,0.00
30,427,937,16.5,112.5,0.0E+00,0.352,0.00
31,428,936,16.75,112.1875,0.0E+00,0.350,0.00
32,428,937,16.75,112.5,0.0E+00,0.354,0.00
33,428,938,16.75,112.8125,0.0E+00,0.356,0.00
34,429,936,17,112.1875,0.0E+00,0.352,0.00
35,429,937,17,112.5,0.0E+00,0.356,0.00
36,434,926,18.25,109.0625,6.5E+07,0.150,385.99
37,434,927,18.25,109.375,2.2E+08,0.112,955.25
38,434,928,18.25,109.6875,1.4E+08,0.124,693.36
39,434,929,18.25,110,0.0E+00,0.216,0.00
40,435,925,18.5,108.75,3.4E+08,0.209,2807.24
41,435,926,18.5,109.0625,7.4E+08,0.105,3078.97
42,435,927,18.5,109.375,3.1E+08,0.083,1006.67
43,435,928,18.5,109.6875,6.4E+08,0.077,1944.02
44,435,929,18.5,110,5.5E+08,0.143,3092.13
45,435,930,18.5,110.3125,0.0E+00,0.267,0.00
46,436,925,18.75,108.75,3.5E+08,0.203,2787.83
47,436,926,18.75,109.0625,4.0E+08,0.083,1308.46
48,436,927,18.75,109.375,4.1E+08,0.046,757.84
49,436,928,18.75,109.6875,3.6E+08,0.047,665.17
50,436,929,18.75,110,3.1E+08,0.093,1131.66
51,436,930,18.75,110.3125,4.9E+08,0.204,3972.51
52,436,931,18.75,110.625,1.7E+07,0.311,208.84
53,437,925,19,108.75,7.0E+08,0.262,7200.47
54,437,926,19,109.0625,4.1E+08,0.077,1245.36
55,437,927,19,109.375,3.0E+08,0.046,550.96
56,437,928,19,109.6875,4.4E+08,0.047,826.48
57,437,929,19,110,4.6E+08,0.085,1538.05
58,437,930,19,110.3125,5.4E+08,0.143,3077.55
59,437,931,19,110.625,1.3E+08,0.223,1173.14
60,438,925,19.25,108.75,6.9E+08,0.322,8771.45
61,438,926,19.25,109.0625,6.5E+08,0.156,4042.53
62,438,927,19.25,109.375,6.5E+08,0.092,2369.44
63,438,928,19.25,109.6875,5.5E+08,0.076,1649.89
64,438,929,19.25,110,7.5E+08,0.097,2876.10
65,438,930,19.25,110.3125,6.4E+08,0.138,3508.37
66,438,931,19.25,110.625,3.6E+08,0.176,2474.40
67,439,925,19.5,108.75,1.1E+08,0.362,1602.56
68,439,926,19.5,109.0625,7.4E+08,0.180,5248.68
69,439,927,19.5,109.375,8.9E+08,0.113,3966.64
70,439,928,19.5,109.6875,7.7E+08,0.097,2973.39
71,439,929,19.5,110,7.3E+08,0.115,3300.08
72,439,930,19.5,110.3125,7.2E+08,0.144,4061.85
73,439,931,19.5,110.625,4.6E+08,0.167,3028.04
74,439,932,19.5,110.9375,6.1E+07,0.285,687.50
75,440,926,19.75,109.0625,6.5E+07,0.275,707.45
76,440,927,19.75,109.375,6.9E+08,0.179,4872.62
77,440,928,19.75,109.6875,8.6E+08,0.149,5025.57
78,440,929,19.75,110,8.5E+08,0.149,5039.55
79,440,930,19.75,110.3125,7.8E+08,0.178,5489.19
80,440,931,19.75,110.625,6.4E+08,0.220,5561.62
81,440,932,19.75,110.9375,5.7E+08,0.330,7470.93
82,441,927,20,109.375,1.6E+07,0.253,160.28
83,441,928,20,109.6875,2.3E+08,0.222,2009.68
84,441,929,20,110,2.8E+08,0.199,2179.90
85,441,930,20,110.3125,3.8E+08,0.225,3407.97
86,441,931,20,110.625,5.2E+08,0.282,5787.71
87,441,932,20,110.9375,2.5E+08,0.367,3564.19
88,441,933,20,111.25,1.0E+06,0.391,15.44
89,442,929,20.25,110,2.6E+08,0.270,2730.56
90,442,930,20.25,110.3125,1.9E+08,0.281,2063.11
91,442,931,20.25,110.625,8.0E+06,0.314,99.39
92,443,928,20.5,109.6875,3.3E+07,0.266,347.34
93,443,929,20.5,110,6.3E+08,0.305,7630.39
94,443,930,20.5,110.3125,6.2E+08,0.324,7943.24
95,443,931,20.5,110.625,6.4E+07,0.324,819.44
96,444,928,20.75,109.6875,2.7E+08,0.271,2883.63
97,444,929,20.75,110,8.2E+08,0.303,9828.92
98,444,930,20.75,110.3125,3.6E+08,0.302,4267.21
99,444,931,20.75,110.625,2.0E+06,0.315,24.87
100,444,950,20.75,116.5625,0.0E+00,0.413,0.00
101,444,951,20.75,116.875,0.0E+00,0.419,0.00
102,445,926,21,109.0625,1.3E+07,0.282,144.87
103,445,927,21,109.375,0.0E+00,0.253,0.00
104,445,928,21,109.6875,4.3E+08,0.259,4438.77
105,445,929,21,110,8.4E+08,0.286,9466.76
106,445,930,21,110.3125,2.1E+08,0.270,2282.52
107,445,931,21,110.625,1.1E+08,0.290,1203.42
108,446,901,21.25,101.25,9.6E+07,0.023,86.19
109,446,902,21.25,101.5625,8.0E+06,0.013,4.14
110,446,903,21.25,101.875,0.0E+00,0.027,0.00
111,446,928,21.25,109.6875,2.3E+08,0.246,2205.49
112,446,929,21.25,110,8.5E+08,0.259,8736.87
113,446,930,21.25,110.3125,5.8E+08,0.255,5871.01
114,446,931,21.25,110.625,4.3E+08,0.259,4405.46
115,446,933,21.25,111.25,0.0E+00,0.309,0.00
116,447,897,21.5,100,1.0E+06,0.007,0.29
117,447,898,21.5,100.3125,3.8E+07,0.008,12.23
118,447,899,21.5,100.625,1.6E+08,0.016,99.67
119,447,900,21.5,100.9375,4.0E+06,0.016,2.58
120,447,901,21.5,101.25,1.4E+08,0.011,61.24
121,447,902,21.5,101.5625,5.9E+07,0.015,33.96
122,447,903,21.5,101.875,0.0E+00,0.020,0.00
123,447,921,21.5,107.5,5.9E+07,0.081,188.23
124,447,922,21.5,107.8125,4.8E+07,0.167,316.34
125,447,923,21.5,108.125,1.8E+08,0.285,2042.09
126,447,924,21.5,108.4375,5.2E+07,0.317,651.20
127,447,925,21.5,108.75,4.0E+06,0.299,47.22
128,447,926,21.5,109.0625,2.2E+08,0.286,2494.64
129,447,927,21.5,109.375,5.9E+08,0.274,6435.28
130,447,928,21.5,109.6875,2.9E+08,0.245,2815.35
131,447,929,21.5,110,8.1E+08,0.254,8078.11
132,447,930,21.5,110.3125,8.4E+08,0.244,8112.45
133,447,931,21.5,110.625,8.8E+08,0.253,8824.73
134,447,932,21.5,110.9375,6.1E+08,0.249,6038.26
135,447,933,21.5,111.25,4.9E+08,0.264,5156.65
136,447,934,21.5,111.5625,2.7E+08,0.281,3013.64
137,447,935,21.5,111.875,4.6E+07,0.282,512.99
138,447,936,21.5,112.1875,1.0E+06,0.288,11.38
139,447,937,21.5,112.5,1.0E+06,0.288,11.37
140,447,938,21.5,112.8125,8.0E+06,0.297,94.02
141,448,897,21.75,100,1.1E+08,0.013,56.39
142,448,898,21.75,100.3125,3.4E+08,0.020,266.66
143,448,899,21.75,100.625,3.0E+08,0.033,383.34
144,448,900,21.75,100.9375,2.2E+08,0.008,70.36
145,448,901,21.75,101.25,1.2E+08,0.010,49.27
146,448,902,21.75,101.5625,4.2E+07,0.017,27.50
147,448,903,21.75,101.875,3.0E+06,0.021,2.55
148,448,919,21.75,106.875,3.0E+06,0.223,26.40
149,448,920,21.75,107.1875,1.5E+08,0.191,1093.84
150,448,921,21.75,107.5,2.2E+08,0.120,1040.84
151,448,922,21.75,107.8125,4.0E+08,0.092,1445.97
152,448,923,21.75,108.125,5.3E+08,0.200,4172.75
153,448,924,21.75,108.4375,4.8E+08,0.323,6144.17
154,448,925,21.75,108.75,5.7E+08,0.321,7271.07
155,448,926,21.75,109.0625,8.1E+08,0.307,9779.11
156,448,927,21.75,109.375,8.2E+08,0.282,9076.84
157,448,928,21.75,109.6875,7.6E+08,0.260,7783.85
158,448,929,21.75,110,8.6E+08,0.255,8637.31
159,448,930,21.75,110.3125,7.5E+08,0.228,6740.90
160,448,931,21.75,110.625,8.5E+08,0.230,7697.80
161,448,932,21.75,110.9375,7.5E+08,0.212,6313.41
162,448,933,21.75,111.25,7.4E+08,0.178,5171.23
163,448,934,21.75,111.5625,6.7E+08,0.184,4833.45
164,448,935,21.75,111.875,4.6E+08,0.243,4379.71
165,448,936,21.75,112.1875,3.1E+08,0.261,3213.28
166,448,937,21.75,112.5,2.7E+08,0.255,2674.39
167,448,938,21.75,112.8125,5.2E+07,0.261,536.95
168,448,939,21.75,113.125,0.0E+00,0.278,0.00
169,448,942,21.75,114.0625,0.0E+00,0.302,0.00
170,448,964,21.75,120.9375,0.0E+00,0.460,0.00
171,449,894,22,99.0625,1.0E+06,0.006,0.24
172,449,895,22,99.375,2.5E+07,0.012,11.47
173,449,896,22,99.6875,1.1E+08,0.030,129.87
174,449,897,22,100,2.7E+08,0.017,184.99
175,449,898,22,100.3125,4.9E+08,0.031,594.83
176,449,899,22,100.625,4.4E+08,0.021,356.39
177,449,900,22,100.9375,3.0E+08,0.007,86.30
178,449,901,22,101.25,1.0E+08,0.012,48.19
179,449,902,22,101.5625,5.9E+07,0.019,43.59
180,449,903,22,101.875,0.0E+00,0.017,0.00
181,449,918,22,106.5625,3.5E+07,0.190,262.62
182,449,919,22,106.875,4.2E+08,0.211,3473.10
183,449,920,22,107.1875,5.3E+08,0.197,4113.56
184,449,921,22,107.5,4.2E+08,0.166,2767.30
185,449,922,22,107.8125,5.3E+08,0.143,3002.14
186,449,923,22,108.125,3.5E+08,0.178,2451.92
187,449,924,22,108.4375,7.4E+08,0.298,8764.51
188,449,925,22,108.75,8.3E+08,0.331,10882.50
189,449,926,22,109.0625,8.2E+08,0.318,10274.01
190,449,927,22,109.375,8.2E+08,0.278,9001.16
191,449,928,22,109.6875,6.7E+08,0.247,6518.94
192,449,929,22,110,7.8E+08,0.249,7665.53
193,449,930,22,110.3125,8.5E+08,0.243,8178.24
194,449,931,22,110.625,8.6E+08,0.221,7490.36
195,449,932,22,110.9375,8.0E+08,0.180,5719.05
196,449,933,22,111.25,5.8E+08,0.126,2869.69
197,449,934,22,111.5625,6.9E+08,0.157,4314.67
198,449,935,22,111.875,7.4E+08,0.212,6197.50
199,449,936,22,112.1875,7.7E+08,0.230,6996.43
200,449,937,22,112.5,5.2E+08,0.248,5122.37
201,449,938,22,112.8125,5.7E+08,0.222,5020.63
202,449,939,22,113.125,1.8E+08,0.248,1770.91
203,449,940,22,113.4375,6.2E+07,0.276,675.19
204,449,941,22,113.75,3.0E+06,0.270,32.06
205,449,942,22,114.0625,1.6E+07,0.274,173.18
206,449,943,22,114.375,2.0E+06,0.289,22.83
207,449,963,22,120.625,7.7E+07,0.406,1236.54
208,449,964,22,120.9375,3.0E+07,0.470,557.05
209,449,966,22,121.5625,6.0E+06,0.474,112.51
210,450,894,22.25,99.0625,2.4E+07,0.004,3.48
211,450,895,22.25,99.375,2.8E+08,0.008,87.02
212,450,896,22.25,99.6875,3.6E+08,0.035,498.06
213,450,897,22.25,100,4.6E+08,0.020,366.55
214,450,898,22.25,100.3125,3.1E+08,0.028,336.22
215,450,899,22.25,100.625,1.9E+08,0.013,93.34
216,450,900,22.25,100.9375,1.4E+08,0.013,67.26
217,450,901,22.25,101.25,8.0E+07,0.021,65.13
218,450,902,22.25,101.5625,9.0E+07,0.021,74.62
219,450,918,22.25,106.5625,9.6E+07,0.160,606.61
220,450,919,22.25,106.875,6.9E+08,0.190,5199.39
221,450,920,22.25,107.1875,7.5E+08,0.185,5504.06
222,450,921,22.25,107.5,8.4E+08,0.178,5883.96
223,450,922,22.25,107.8125,6.7E+08,0.183,4827.16
224,450,923,22.25,108.125,4.7E+08,0.216,4039.69
225,450,924,22.25,108.4375,7.6E+08,0.293,8777.02
226,450,925,22.25,108.75,8.6E+08,0.327,11071.22
227,450,926,22.25,109.0625,8.9E+08,0.309,10832.37
228,450,927,22.25,109.375,8.2E+08,0.260,8416.40
229,450,928,22.25,109.6875,6.2E+08,0.233,5693.86
230,450,929,22.25,110,7.5E+08,0.236,6986.58
231,450,930,22.25,110.3125,6.8E+08,0.232,6215.42
232,450,931,22.25,110.625,8.0E+08,0.224,7058.99
233,450,932,22.25,110.9375,8.1E+08,0.193,6204.80
234,450,933,22.25,111.25,5.9E+08,0.113,2626.22
235,450,934,22.25,111.5625,4.5E+08,0.137,2456.34
236,450,935,22.25,111.875,4.9E+08,0.174,3335.77
237,450,936,22.25,112.1875,4.8E+08,0.186,3523.60
238,450,937,22.25,112.5,8.2E+08,0.238,7753.84
239,450,938,22.25,112.8125,6.4E+08,0.225,5635.13
240,450,939,22.25,113.125,5.8E+08,0.237,5425.34
241,450,940,22.25,113.4375,2.6E+08,0.264,2672.22
242,450,941,22.25,113.75,2.1E+07,0.238,197.16
243,450,942,22.25,114.0625,6.3E+07,0.227,565.71
244,450,943,22.25,114.375,2.9E+07,0.256,293.92
245,450,962,22.25,120.3125,0.0E+00,0.191,0.00
246,450,963,22.25,120.625,6.7E+07,0.277,732.48
247,450,964,22.25,120.9375,1.4E+07,0.425,235.19
248,451,895,22.5,99.375,1.8E+08,0.005,35.66
249,451,896,22.5,99.6875,5.1E+08,0.021,419.12
250,451,897,22.5,100,4.6E+08,0.020,366.98
251,451,898,22.5,100.3125,3.1E+08,0.023,286.36
252,451,899,22.5,100.625,3.0E+08,0.008,90.84
253,451,900,22.5,100.9375,1.7E+08,0.016,110.52
254,451,901,22.5,101.25,1.3E+08,0.025,130.57
255,451,902,22.5,101.5625,2.6E+08,0.020,207.67
256,451,903,22.5,101.875,2.2E+08,0.013,112.40
257,451,904,22.5,102.1875,1.4E+08,0.009,52.41
258,451,905,22.5,102.5,0.0E+00,0.002,0.00
259,451,906,22.5,102.8125,3.0E+07,0.003,3.45
260,451,907,22.5,103.125,9.4E+07,0.002,7.62
261,451,908,22.5,103.4375,0.0E+00,0.003,0.00
262,451,909,22.5,103.75,8.0E+06,0.010,3.26
263,451,910,22.5,104.0625,1.6E+07,0.015,9.44
264,451,918,22.5,106.5625,2.8E+08,0.158,1727.78
265,451,919,22.5,106.875,5.5E+08,0.188,4071.61
266,451,920,22.5,107.1875,7.6E+08,0.186,5600.97
267,451,921,22.5,107.5,7.7E+08,0.193,5878.39
268,451,922,22.5,107.8125,8.2E+08,0.200,6429.96
269,451,923,22.5,108.125,8.0E+08,0.227,7170.94
270,451,924,22.5,108.4375,6.8E+08,0.288,7712.59
271,451,925,22.5,108.75,7.6E+08,0.327,9880.47
272,451,926,22.5,109.0625,8.2E+08,0.316,10296.86
273,451,927,22.5,109.375,8.2E+08,0.267,8609.94
274,451,928,22.5,109.6875,7.7E+08,0.228,6946.25
275,451,929,22.5,110,7.7E+08,0.227,6878.77
276,451,930,22.5,110.3125,8.2E+08,0.257,8328.58
277,451,931,22.5,110.625,7.4E+08,0.223,6521.31
278,451,932,22.5,110.9375,6.7E+08,0.201,5288.75
279,451,933,22.5,111.25,5.7E+08,0.130,2912.72
280,451,934,22.5,111.5625,5.2E+08,0.135,2788.67
281,451,935,22.5,111.875,5.3E+08,0.173,3637.81
282,451,936,22.5,112.1875,4.4E+08,0.141,2469.07
283,451,937,22.5,112.5,6.7E+08,0.201,5279.68
284,451,938,22.5,112.8125,6.8E+08,0.225,6073.07
285,451,939,22.5,113.125,4.5E+08,0.246,4354.45
286,451,940,22.5,113.4375,2.4E+08,0.257,2408.23
287,451,941,22.5,113.75,1.1E+07,0.222,96.39
288,451,942,22.5,114.0625,2.0E+08,0.219,1691.78
289,451,943,22.5,114.375,1.4E+08,0.211,1165.09
290,451,944,22.5,114.6875,2.9E+07,0.229,262.41
291,451,945,22.5,115,1.8E+07,0.267,190.13
292,451,962,22.5,120.3125,4.4E+07,0.148,256.80
293,451,963,22.5,120.625,2.9E+08,0.094,1073.41
294,451,964,22.5,120.9375,1.3E+07,0.224,114.87
295,452,895,22.75,99.375,1.7E+08,0.006,39.63
296,452,896,22.75,99.6875,4.4E+08,0.014,232.79
297,452,897,22.75,100,4.2E+08,0.018,295.46
298,452,898,22.75,100.3125,3.7E+08,0.009,130.86
299,452,899,22.75,100.625,2.9E+08,0.012,139.32
300,452,900,22.75,100.9375,2.5E+08,0.017,166.55
301,452,901,22.75,101.25,1.9E+08,0.030,220.87
302,452,902,22.75,101.5625,1.1E+08,0.009,38.73
303,452,903,22.75,101.875,1.6E+08,0.009,55.46
304,452,904,22.75,102.1875,1.3E+08,0.003,15.72
305,452,905,22.75,102.5,1.1E+08,0.005,23.51
306,452,906,22.75,102.8125,2.3E+08,0.004,35.81
307,452,907,22.75,103.125,3.7E+08,0.003,45.11
308,452,908,22.75,103.4375,1.5E+08,0.009,49.53
309,452,909,22.75,103.75,1.9E+08,0.003,20.76
310,452,910,22.75,104.0625,2.0E+08,0.005,42.83
311,452,911,22.75,104.375,2.1E+08,0.008,67.99
312,452,912,22.75,104.6875,6.0E+07,0.003,6.37
313,452,917,22.75,106.25,6.0E+06,0.110,26.01
314,452,918,22.75,106.5625,1.0E+06,0.195,7.73
315,452,919,22.75,106.875,4.4E+08,0.203,3520.70
316,452,920,22.75,107.1875,7.2E+08,0.206,5874.42
317,452,921,22.75,107.5,6.9E+08,0.195,5327.71
318,452,922,22.75,107.8125,7.9E+08,0.194,6053.43
319,452,923,22.75,108.125,7.0E+08,0.220,6070.71
320,452,924,22.75,108.4375,7.9E+08,0.263,8167.16
321,452,925,22.75,108.75,8.2E+08,0.318,10368.28
322,452,926,22.75,109.0625,7.2E+08,0.307,8708.74
323,452,927,22.75,109.375,8.3E+08,0.263,8611.02
324,452,928,22.75,109.6875,8.1E+08,0.222,7109.37
325,452,929,22.75,110,7.6E+08,0.215,6484.91
326,452,930,22.75,110.3125,8.1E+08,0.224,7165.72
327,452,931,22.75,110.625,6.3E+08,0.195,4825.17
328,452,932,22.75,110.9375,4.9E+08,0.156,3024.56
329,452,933,22.75,111.25,5.2E+08,0.106,2165.35
330,452,934,22.75,111.5625,7.6E+08,0.152,4540.53
331,452,935,22.75,111.875,7.1E+08,0.168,4742.01
332,452,936,22.75,112.1875,5.4E+08,0.147,3103.06
333,452,937,22.75,112.5,6.3E+08,0.190,4748.99
334,452,938,22.75,112.8125,5.1E+08,0.222,4458.78
335,452,939,22.75,113.125,2.5E+08,0.240,2322.26
336,452,940,22.75,113.4375,2.6E+08,0.248,2577.89
337,452,941,22.75,113.75,8.7E+07,0.232,797.31
338,452,942,22.75,114.0625,2.2E+08,0.212,1836.94
339,452,943,22.75,114.375,4.4E+08,0.186,3243.98
340,452,944,22.75,114.6875,3.0E+08,0.180,2161.37
341,452,945,22.75,115,2.9E+08,0.185,2151.52
342,452,946,22.75,115.3125,2.6E+08,0.204,2083.08
343,452,947,22.75,115.625,1.4E+08,0.260,1451.78
344,452,948,22.75,115.9375,1.8E+08,0.298,2084.70
345,452,949,22.75,116.25,2.2E+07,0.332,288.43
346,452,962,22.75,120.3125,2.2E+08,0.144,1272.29
347,452,963,22.75,120.625,3.4E+08,0.034,447.79
348,452,964,22.75,120.9375,1.1E+08,0.065,269.63
349,452,965,22.75,121.25,4.1E+07,0.337,546.45
350,452,966,22.75,121.5625,2.0E+06,0.454,35.92
351,453,894,23,99.0625,4.0E+06,0.004,0.68
352,453,895,23,99.375,5.0E+07,0.011,21.86
353,453,896,23,99.6875,4.1E+08,0.006,95.66
354,453,897,23,100,4.1E+08,0.020,325.54
355,453,898,23,100.3125,3.8E+08,0.016,234.00
356,453,899,23,100.625,2.8E+08,0.021,229.21
357,453,900,23,100.9375,2.6E+08,0.026,269.98
358,453,901,23,101.25,1.5E+08,0.051,301.99
359,453,902,23,101.5625,1.9E+08,0.008,60.50
360,453,903,23,101.875,3.0E+08,0.005,62.07
361,453,904,23,102.1875,2.9E+08,0.011,127.02
362,453,905,23,102.5,2.8E+08,0.010,107.35
363,453,906,23,102.8125,2.7E+08,0.003,32.44
364,453,907,23,103.125,2.8E+08,0.006,60.47
365,453,908,23,103.4375,4.4E+08,0.007,121.19
366,453,909,23,103.75,2.3E+08,0.004,34.89
367,453,910,23,104.0625,6.1E+08,0.026,635.91
368,453,911,23,104.375,6.8E+08,0.049,1309.77
369,453,912,23,104.6875,3.9E+08,0.008,129.23
370,453,913,23,105,1.0E+06,0.004,0.17
371,453,915,23,105.625,1.1E+08,0.031,130.40
372,453,916,23,105.9375,3.5E+08,0.050,695.06
373,453,917,23,106.25,5.2E+08,0.173,3556.78
374,453,918,23,106.5625,6.0E+08,0.210,4947.54
375,453,919,23,106.875,6.4E+08,0.224,5655.89
376,453,920,23,107.1875,7.0E+08,0.246,6760.48
377,453,921,23,107.5,5.6E+08,0.217,4840.13
378,453,922,23,107.8125,8.0E+08,0.192,6076.76
379,453,923,23,108.125,7.9E+08,0.205,6443.90
380,453,924,23,108.4375,6.6E+08,0.242,6347.47
381,453,925,23,108.75,5.6E+08,0.296,6579.99
382,453,926,23,109.0625,6.7E+08,0.302,7955.67
383,453,927,23,109.375,7.6E+08,0.223,6695.54
384,453,928,23,109.6875,8.4E+08,0.200,6616.01
385,453,929,23,110,8.4E+08,0.247,8150.20
386,453,930,23,110.3125,6.5E+08,0.200,5104.67
387,453,931,23,110.625,5.9E+08,0.187,4397.21
388,453,932,23,110.9375,6.7E+08,0.159,4190.30
389,453,933,23,111.25,6.9E+08,0.129,3516.96
390,453,934,23,111.5625,6.1E+08,0.145,3514.56
391,453,935,23,111.875,5.5E+08,0.125,2706.25
392,453,936,23,112.1875,5.0E+08,0.125,2443.14
393,453,937,23,112.5,5.5E+08,0.167,3655.27
394,453,938,23,112.8125,4.9E+08,0.207,4000.32
395,453,939,23,113.125,4.7E+07,0.264,489.93
396,453,940,23,113.4375,2.2E+08,0.240,2048.83
397,453,941,23,113.75,1.7E+08,0.214,1422.22
398,453,942,23,114.0625,2.7E+08,0.171,1820.54
399,453,943,23,114.375,6.0E+08,0.179,4225.66
400,453,944,23,114.6875,7.1E+08,0.168,4728.59
401,453,945,23,115,3.8E+08,0.092,1358.72
402,453,946,23,115.3125,5.7E+08,0.113,2528.29
403,453,947,23,115.625,7.3E+08,0.208,6018.58
404,453,948,23,115.9375,8.2E+08,0.225,7337.38
405,453,949,23,116.25,6.8E+08,0.256,6858.82
406,453,950,23,116.5625,2.5E+08,0.323,3227.08
407,453,961,23,120,3.5E+07,0.263,364.20
408,453,962,23,120.3125,4.3E+08,0.152,2582.94
409,453,963,23,120.625,3.6E+08,0.023,319.80
410,453,964,23,120.9375,1.2E+07,0.012,5.82
411,453,965,23,121.25,1.0E+08,0.121,487.39
412,454,893,23.25,98.75,0.0E+00,0.002,0.00
413,454,894,23.25,99.0625,1.0E+08,0.004,14.64
414,454,895,23.25,99.375,3.7E+08,0.010,145.47
415,454,896,23.25,99.6875,3.3E+08,0.015,190.20
416,454,897,23.25,100,3.3E+08,0.014,178.90
417,454,898,23.25,100.3125,2.5E+08,0.015,146.90
418,454,899,23.25,100.625,1.1E+08,0.021,95.91
419,454,900,23.25,100.9375,1.5E+08,0.032,187.10
420,454,901,23.25,101.25,2.1E+08,0.055,453.89
421,454,902,23.25,101.5625,2.9E+08,0.015,163.95
422,454,903,23.25,101.875,3.3E+08,0.016,206.41
423,454,904,23.25,102.1875,2.5E+08,0.025,243.52
424,454,905,23.25,102.5,3.0E+08,0.009,106.04
425,454,906,23.25,102.8125,3.6E+08,0.007,104.56
426,454,907,23.25,103.125,5.2E+08,0.016,326.53
