index,lat,lon,province
203,22.75,108.75,Guangxi
204,22.75,109.0625,Guangxi
205,22.75,109.375,Guangxi
206,22.75,109.6875,Guangxi
207,22.75,110,Guangxi
208,22.75,110.3125,Guangxi
209,22.75,110.625,Guangxi
210,22.75,110.9375,Guangxi
211,22.75,111.25,Guangdong
212,22.75,111.5625,Guangdong
213,22.75,111.875,Guangdong
214,22.75,112.1875,Guangdong
215,22.75,112.5,Guangdong
216,22.75,112.8125,Guangdong
217,22.75,113.125,Guangdong
218,22.75,113.4375,Guangdong
219,22.75,113.75,Guangdong
220,22.75,114.0625,Guangdong
221,22.75,114.375,Guangdong
222,22.75,115,Guangdong
223,23,99.6875,Yunnan
224,23,100,Yunnan
225,23,100.3125,Yunnan
226,23,100.625,Yunnan
227,23,100.9375,Yunnan
228,23,101.25,Yunnan
229,23,101.5625,Yunnan
230,23,101.875,Yunnan
231,23,102.1875,Yunnan
232,23,102.5,Yunnan
233,23,102.8125,Yunnan
234,23,103.125,Yunnan
235,23,103.4375,Yunnan
236,23,103.75,Yunnan
237,23,104.0625,Yunnan
238,23,104.375,Yunnan
239,23,104.6875,Yunnan
240,23,105.9375,Guangxi
241,23,106.25,Guangxi
242,23,106.5625,Guangxi
243,23,106.875,Guangxi
244,23,107.1875,Guangxi
245,23,107.5,Guangxi
246,23,107.8125,Guangxi
247,23,108.125,Guangxi
248,23,108.4375,Guangxi
249,23,108.75,Guangxi
250,23,109.0625,Guangxi
251,23,109.375,Guangxi
252,23,109.6875,Guangxi
253,23,110,Guangxi
254,23,110.3125,Guangxi
255,23,110.625,Guangxi
256,23,110.9375,Guangxi
257,23,111.25,Guangxi
258,23,111.5625,Guangdong
259,23,111.875,Guangdong
260,23,112.1875,Guangdong
261,23,112.5,Guangdong
262,23,112.8125,Guangdong
263,23,113.125,Guangdong
264,23,113.4375,Guangdong
265,23,113.75,Guangdong
266,23,114.0625,Guangdong
267,23,114.375,Guangdong
268,23,114.6875,Guangdong
269,23,115,Guangdong
270,23,115.3125,Guangdong
271,23,115.625,Guangdong
272,23,115.9375,Guangdong
