Index,col,row,lat,lon,suitable_area(m2),Average_CF,Annual potential (GWh),provin
1,431,926,17.5,109.0625,69000000.0,0.268,868.43,HI
2,431,927,17.5,109.375,5000000.0,0.277,65.16,HI
3,431,928,17.5,109.6875,170000000.0,0.286,2271.97,HI
4,431,929,17.5,110.0,200000000.0,0.292,2701.61,HI
6,432,924,17.75,108.4375,210000000.0,0.258,2573.92,HI
7,432,925,17.75,108.75,630000000.0,0.248,7340.47,HI
8,432,926,17.75,109.0625,150000000.0,0.253,1818.51,HI
9,432,927,17.75,109.375,0.0,0.266,0.0,HI
10,432,928,17.75,109.6875,8000000.0,0.278,104.74,HI
11,432,929,17.75,110.0,200000000.0,0.286,2621.66,HI
12,432,930,17.75,110.3125,500000000.0,0.292,6810.8,HI
13,432,931,17.75,110.625,38000000.0,0.301,537.39,HI
14,433,923,18.0,108.125,0.0,0.277,0.0,HI
15,433,924,18.0,108.4375,820000000.0,0.253,9719.46,HI
16,433,925,18.0,108.75,810000000.0,0.227,8587.25,HI
17,433,926,18.0,109.0625,520000000.0,0.218,5383.08,HI
18,433,927,18.0,109.375,450000000.0,0.209,4366.12,HI
19,433,928,18.0,109.6875,740000000.0,0.223,7748.16,HI
20,433,929,18.0,110.0,330000000.0,0.26,3981.97,HI
21,433,930,18.0,110.3125,340000000.0,0.287,4555.22,HI
22,433,931,18.0,110.625,180000000.0,0.295,2526.6,HI
23,433,932,18.0,110.9375,0.0,0.308,0.0,HI
24,434,922,18.25,107.8125,0.0,0.305,0.0,HI
25,434,923,18.25,108.125,0.0,0.291,0.0,HI
26,434,924,18.25,108.4375,590000000.0,0.258,7127.23,HI
27,434,925,18.25,108.75,920000000.0,0.207,8911.37,HI
28,434,926,18.25,109.0625,820000000.0,0.141,5419.34,HI
29,434,927,18.25,109.375,560000000.0,0.106,2793.54,HI
31,434,929,18.25,110.0,900000000.0,0.205,8620.54,HI
32,434,930,18.25,110.3125,410000000.0,0.28,5442.67,HI
33,434,931,18.25,110.625,85000000.0,0.292,1168.69,HI
34,434,932,18.25,110.9375,59000000.0,0.308,853.51,HI
35,434,933,18.25,111.25,0.0,0.321,0.0,HI
36,435,922,18.5,107.8125,0.0,0.331,0.0,HI
37,435,923,18.5,108.125,0.0,0.322,0.0,HI
38,435,924,18.5,108.4375,480000000.0,0.288,6489.36,HI
43,435,930,18.5,110.3125,900000000.0,0.253,10645.4,HI
44,435,931,18.5,110.625,740000000.0,0.295,10203.7,HI
45,435,932,18.5,110.9375,62000000.0,0.31,905.22,HI
46,435,933,18.5,111.25,0.0,0.325,0.0,HI
47,436,922,18.75,107.8125,0.0,0.358,0.0,HI
48,436,923,18.75,108.125,0.0,0.361,0.0,HI
49,436,924,18.75,108.4375,420000000.0,0.335,6546.82,HI
52,436,931,18.75,110.625,880000000.0,0.294,12170.79,HI
53,436,932,18.75,110.9375,670000000.0,0.317,9949.74,HI
54,436,933,18.75,111.25,3000000.0,0.33,46.6,HI
55,437,922,19.0,107.8125,0.0,0.382,0.0,HI
56,437,923,19.0,108.125,0.0,0.396,0.0,HI
57,437,924,19.0,108.4375,290000000.0,0.382,5154.65,HI
60,437,931,19.0,110.625,730000000.0,0.209,7164.76,HI
61,437,932,19.0,110.9375,910000000.0,0.32,13680.22,HI
62,437,933,19.0,111.25,83000000.0,0.338,1319.58,HI
63,437,934,19.0,111.5625,0.0,0.345,0.0,HI
64,438,922,19.25,107.8125,0.0,0.398,0.0,HI
65,438,923,19.25,108.125,0.0,0.415,0.0,HI
66,438,924,19.25,108.4375,120000000.0,0.415,2242.98,HI
68,438,931,19.25,110.625,470000000.0,0.164,3605.67,HI
69,438,932,19.25,110.9375,910000000.0,0.295,12665.59,HI
70,438,933,19.25,111.25,530000000.0,0.347,8658.61,HI
71,438,934,19.25,111.5625,0.0,0.35,0.0,HI
72,438,935,19.25,111.875,0.0,0.353,0.0,HI
73,439,922,19.5,107.8125,0.0,0.406,0.0,HI
74,439,923,19.5,108.125,0.0,0.42,0.0,HI
75,439,924,19.5,108.4375,0.0,0.421,0.0,HI
76,439,925,19.5,108.75,540000000.0,0.347,8854.72,HI
79,439,932,19.5,110.9375,760000000.0,0.269,9535.41,HI
80,439,933,19.5,111.25,260000000.0,0.362,4425.49,HI
81,439,934,19.5,111.5625,0.0,0.353,0.0,HI
82,439,935,19.5,111.875,0.0,0.355,0.0,HI
83,440,922,19.75,107.8125,0.0,0.407,0.0,HI
84,440,923,19.75,108.125,0.0,0.416,0.0,HI
85,440,924,19.75,108.4375,0.0,0.409,0.0,HI
86,440,925,19.75,108.75,110000000.0,0.37,1913.4,HI
87,440,926,19.75,109.0625,690000000.0,0.262,8487.69,HI
92,440,933,19.75,111.25,760000000.0,0.363,13049.2,HI
93,440,934,19.75,111.5625,68000000.0,0.355,1136.2,HI
94,440,935,19.75,111.875,0.0,0.355,0.0,HI
95,441,923,20.0,108.125,0.0,0.405,0.0,HI
96,441,924,20.0,108.4375,0.0,0.39,0.0,HI
97,441,925,20.0,108.75,0.0,0.356,0.0,HI
98,441,926,20.0,109.0625,77000000.0,0.299,1083.85,HI
99,441,927,20.0,109.375,630000000.0,0.241,7104.63,HI
101,441,929,20.0,110.0,570000000.0,0.187,4998.23,HI
104,441,932,20.0,110.9375,640000000.0,0.348,10475.38,HI
105,441,933,20.0,111.25,900000000.0,0.372,15737.12,HI
106,441,934,20.0,111.5625,480000000.0,0.357,8017.01,HI
107,441,935,20.0,111.875,0.0,0.354,0.0,HI
108,442,924,20.25,108.4375,0.0,0.372,0.0,HI
109,442,925,20.25,108.75,0.0,0.338,0.0,HI
110,442,926,20.25,109.0625,0.0,0.295,0.0,HI
111,442,927,20.25,109.375,21000000.0,0.259,255.5,HI
112,442,928,20.25,109.6875,740000000.0,0.243,8447.69,GD
113,442,929,20.25,110.0,600000000.0,0.255,7196.41,GD
114,442,930,20.25,110.3125,540000000.0,0.265,6750.68,GD
115,442,931,20.25,110.625,890000000.0,0.298,12438.37,HI
116,442,932,20.25,110.9375,900000000.0,0.355,15065.0,HI
117,442,933,20.25,111.25,910000000.0,0.367,15611.71,HI
118,442,934,20.25,111.5625,570000000.0,0.356,9484.43,HI
119,443,925,20.5,108.75,0.0,0.32,0.0,HI
120,443,926,20.5,109.0625,0.0,0.285,0.0,GD
121,443,927,20.5,109.375,0.0,0.257,0.0,GD
122,443,928,20.5,109.6875,540000000.0,0.253,6390.05,GD
125,443,931,20.5,110.625,810000000.0,0.307,11702.46,GD
126,443,932,20.5,110.9375,900000000.0,0.347,14735.74,GD
127,443,933,20.5,111.25,890000000.0,0.357,14884.1,GD
128,443,934,20.5,111.5625,250000000.0,0.349,4107.59,HI
133,444,925,20.75,108.75,0.0,0.305,0.0,GX
134,444,926,20.75,109.0625,61000000.0,0.274,784.95,GD
135,444,927,20.75,109.375,400000000.0,0.249,4676.65,GD
136,444,928,20.75,109.6875,610000000.0,0.257,7380.69,GD
139,444,931,20.75,110.625,900000000.0,0.298,12544.85,GD
140,444,932,20.75,110.9375,900000000.0,0.329,13927.0,GD
141,444,933,20.75,111.25,810000000.0,0.343,13059.19,GD
142,444,934,20.75,111.5625,460000000.0,0.339,7408.24,GD
143,444,935,20.75,111.875,240000000.0,0.333,3700.89,GD
144,444,936,20.75,112.1875,220000000.0,0.329,3438.3,GD
145,444,937,20.75,112.5,29000000.0,0.324,442.2,GD
149,445,924,21.0,108.4375,160000000.0,0.317,2357.86,GX
150,445,925,21.0,108.75,19000000.0,0.292,260.58,GX
151,445,926,21.0,109.0625,710000000.0,0.269,8971.92,GX
152,445,927,21.0,109.375,900000000.0,0.24,10141.16,GD
156,445,931,21.0,110.625,740000000.0,0.274,9512.22,GD
157,445,932,21.0,110.9375,900000000.0,0.304,12842.05,GD
158,445,933,21.0,111.25,900000000.0,0.324,13726.41,GD
159,445,934,21.0,111.5625,900000000.0,0.326,13769.28,GD
160,445,935,21.0,111.875,900000000.0,0.321,13617.12,GD
161,445,936,21.0,112.1875,900000000.0,0.316,13368.21,GD
162,445,937,21.0,112.5,810000000.0,0.313,11888.66,GD
163,445,938,21.0,112.8125,240000000.0,0.313,3589.33,GD
164,445,939,21.0,113.125,0.0,0.312,0.0,GD
168,446,924,21.25,108.4375,830000000.0,0.307,12030.37,GX
169,446,925,21.25,108.75,720000000.0,0.282,9586.65,GX
170,446,926,21.25,109.0625,900000000.0,0.264,11134.84,GX
171,446,927,21.25,109.375,900000000.0,0.231,9734.83,GX
172,446,928,21.25,109.6875,670000000.0,0.233,7284.77,GD
176,446,932,21.25,110.9375,900000000.0,0.266,11207.01,GD
177,446,933,21.25,111.25,900000000.0,0.293,12363.46,GD
178,446,934,21.25,111.5625,900000000.0,0.3,12700.52,GD
179,446,935,21.25,111.875,900000000.0,0.302,12749.69,GD
180,446,936,21.25,112.1875,900000000.0,0.299,12596.95,GD
181,446,937,21.25,112.5,900000000.0,0.299,12665.88,GD
182,446,938,21.25,112.8125,900000000.0,0.302,12724.06,GD
183,446,939,21.25,113.125,790000000.0,0.301,11203.91,GD
184,446,940,21.25,113.4375,380000000.0,0.301,5300.8,GD
188,447,923,21.5,108.125,480000000.0,0.272,6122.54,GX
189,447,924,21.5,108.4375,790000000.0,0.303,11209.13,GX
190,447,925,21.5,108.75,880000000.0,0.285,11843.98,GX
191,447,926,21.5,109.0625,600000000.0,0.272,7696.62,GX
199,447,934,21.5,111.5625,580000000.0,0.266,7266.37,GD
200,447,935,21.5,111.875,820000000.0,0.267,10316.96,GD
201,447,936,21.5,112.1875,890000000.0,0.272,11417.27,GD
202,447,937,21.5,112.5,880000000.0,0.272,11199.8,GD
203,447,938,21.5,112.8125,850000000.0,0.281,11299.3,GD
204,447,939,21.5,113.125,900000000.0,0.287,12074.1,GD
205,447,940,21.5,113.4375,900000000.0,0.288,12147.43,GD
206,447,941,21.5,113.75,630000000.0,0.292,8651.95,GD
207,447,942,21.5,114.0625,200000000.0,0.298,2805.72,GD
208,447,943,21.5,114.375,130000000.0,0.306,1796.76,GD
209,447,944,21.5,114.6875,0.0,0.315,0.0,GD
222,448,937,21.75,112.5,440000000.0,0.241,4987.77,GD
224,448,939,21.75,113.125,870000000.0,0.263,10738.84,GD
225,448,940,21.75,113.4375,890000000.0,0.277,11608.8,GD
226,448,941,21.75,113.75,900000000.0,0.276,11662.05,GD
227,448,942,21.75,114.0625,890000000.0,0.285,11916.85,GD
228,448,943,21.75,114.375,710000000.0,0.292,9792.12,GD
229,448,944,21.75,114.6875,22000000.0,0.3,309.9,GD
230,448,945,21.75,115.0,3000000.0,0.313,44.21,GD
231,448,946,21.75,115.3125,0.0,0.331,0.0,GD
