Index,col,row,lat,lon,suitable_area(m2),Average_CF,Annual potential (GWh)
0,386,939,6.25,113.125,0.0E+00,0.201,0.00
1,389,940,7,113.4375,0.0E+00,0.230,0.00
2,389,941,7,113.75,0.0E+00,0.229,0.00
3,391,941,7.5,113.75,0.0E+00,0.243,0.00
4,392,938,7.75,112.8125,0.0E+00,0.266,0.00
5,393,939,8,113.125,0.0E+00,0.271,0.00
6,393,942,8,114.0625,0.0E+00,0.252,0.00
7,394,940,8.25,113.4375,0.0E+00,0.274,0.00
8,396,935,8.75,111.875,0.0E+00,0.330,0.00
9,396,936,8.75,112.1875,0.0E+00,0.324,0.00
10,396,937,8.75,112.5,0.0E+00,0.318,0.00
11,397,936,9,112.1875,0.0E+00,0.335,0.00
12,397,938,9,112.8125,0.0E+00,0.320,0.00
13,397,941,9,113.75,0.0E+00,0.296,0.00
14,399,938,9.5,112.8125,0.0E+00,0.337,0.00
15,400,943,9.75,114.375,0.0E+00,0.305,0.00
16,401,944,10,114.6875,0.0E+00,0.304,0.00
17,402,943,10.25,114.375,0.0E+00,0.317,0.00
18,403,943,10.5,114.375,0.0E+00,0.323,0.00
19,404,943,10.75,114.375,0.0E+00,0.327,0.00
20,404,948,10.75,115.9375,0.0E+00,0.292,0.00
21,405,943,11,114.375,0.0E+00,0.332,0.00
22,405,945,11,115,0.0E+00,0.318,0.00
23,407,943,11.5,114.375,0.0E+00,0.337,0.00
24,421,954,15,117.8125,0.0E+00,0.211,0.00
25,422,954,15.25,117.8125,0.0E+00,0.213,0.00
26,424,933,15.75,111.25,0.0E+00,0.352,0.00
27,425,935,16,111.875,0.0E+00,0.356,0.00
28,427,934,16.5,111.5625,0.0E+00,0.360,0.00
29,427,935,16.5,111.875,0.0E+00,0.360,0.00
30,427,937,16.5,112.5,0.0E+00,0.360,0.00
31,428,936,16.75,112.1875,0.0E+00,0.362,0.00
32,428,937,16.75,112.5,0.0E+00,0.363,0.00
33,428,938,16.75,112.8125,0.0E+00,0.364,0.00
34,429,936,17,112.1875,0.0E+00,0.365,0.00
35,429,937,17,112.5,0.0E+00,0.366,0.00
36,434,926,18.25,109.0625,6.5E+07,0.145,373.83
37,434,927,18.25,109.375,2.2E+08,0.110,932.35
38,434,928,18.25,109.6875,1.4E+08,0.130,730.17
39,434,929,18.25,110,0.0E+00,0.250,0.00
40,435,925,18.5,108.75,3.4E+08,0.214,2871.36
41,435,926,18.5,109.0625,7.4E+08,0.103,3016.96
42,435,927,18.5,109.375,3.1E+08,0.082,1003.06
43,435,928,18.5,109.6875,6.4E+08,0.079,2014.37
44,435,929,18.5,110,5.5E+08,0.161,3484.78
45,435,930,18.5,110.3125,0.0E+00,0.300,0.00
46,436,925,18.75,108.75,3.5E+08,0.209,2872.74
47,436,926,18.75,109.0625,4.0E+08,0.081,1277.12
48,436,927,18.75,109.375,4.1E+08,0.050,815.94
49,436,928,18.75,109.6875,3.6E+08,0.049,694.78
50,436,929,18.75,110,3.1E+08,0.096,1168.05
51,436,930,18.75,110.3125,4.9E+08,0.218,4257.81
52,436,931,18.75,110.625,1.7E+07,0.340,228.75
53,437,925,19,108.75,7.0E+08,0.269,7380.95
54,437,926,19,109.0625,4.1E+08,0.071,1140.98
55,437,927,19,109.375,3.0E+08,0.046,549.03
56,437,928,19,109.6875,4.4E+08,0.045,790.01
57,437,929,19,110,4.6E+08,0.083,1504.38
58,437,930,19,110.3125,5.4E+08,0.142,3049.15
59,437,931,19,110.625,1.3E+08,0.235,1233.56
60,438,925,19.25,108.75,6.9E+08,0.324,8835.52
61,438,926,19.25,109.0625,6.5E+08,0.153,3961.73
62,438,927,19.25,109.375,6.5E+08,0.084,2167.43
63,438,928,19.25,109.6875,5.5E+08,0.070,1524.58
64,438,929,19.25,110,7.5E+08,0.096,2826.42
65,438,930,19.25,110.3125,6.4E+08,0.138,3504.80
66,438,931,19.25,110.625,3.6E+08,0.183,2568.43
67,439,925,19.5,108.75,1.1E+08,0.350,1547.36
68,439,926,19.5,109.0625,7.4E+08,0.183,5326.76
69,439,927,19.5,109.375,8.9E+08,0.113,3946.04
70,439,928,19.5,109.6875,7.7E+08,0.096,2937.22
71,439,929,19.5,110,7.3E+08,0.117,3351.90
72,439,930,19.5,110.3125,7.2E+08,0.152,4302.03
