Beijing,19
Tianjin,85
Hebei,2274
Shanxi,1956
Liaoning,981
Jilin,577
Heilongjiang,686
Shanghai,82
Jiangsu,1547
Zhejiang,179
Anhui,409
Fujian,486
Jiangxi,510
Shandong,1734
Henan,1518
Hubei,502
Hunan,647
Guangdong,565
Guangxi,643
Hainan,29
Chongqing,98
Sichuan,426
Guizhou,580
Yunnan,881
Xizang,1
Shaanxi,881
Gansu,1373
Qinghai,843
Ningxia,1377
Xinjiang,2337
WestInnerMongolia,2000
EastInnerMongolia,1729
