36,109.375000,18.250000,434,927,356377.326932,Hainan,18.25248,109.51209,14.479462992013632,130.36947932684677
37,109.687500,18.250000,434,928,1138908.708655,Hainan,18.25248,109.51209,18.5255181809594,130.36947932684677
39,108.750000,18.500000,435,925,2742900.339614,Hainan,18.74986,109.17361,52.57673267707472,66.99434394778905
40,109.062500,18.500000,435,926,356377.326932,Hainan,18.74986,109.17361,30.14925207460245,66.99434394778905
41,109.375000,18.500000,435,927,356377.326932,Hainan,18.25248,109.51209,31.09324198197993,130.36947932684677
42,109.687500,18.500000,435,928,807752.571580,Hainan,18.63905,109.70259,15.543252173296015,98.91457512845165
43,110.000000,18.500000,435,929,1668453.202444,Hainan,18.50596,110.0372,3.978215340912184,122.65533347333722
45,108.750000,18.750000,436,925,2742900.339614,Hainan,19.09614,108.65367,39.80039354271441,0.21375089871637976
46,109.062500,18.750000,436,926,2545915.862246,Hainan,18.74986,109.17361,11.699212058339898,66.99434394778905
47,109.375000,18.750000,436,927,740253.501768,Hainan,18.77515,109.51696,15.205771602418872,83.22034846870439
48,109.687500,18.750000,436,928,1668453.202444,Hainan,18.63905,109.70259,12.43903854069669,98.91457512845165
49,110.000000,18.750000,436,929,2232339.739867,Hainan,18.50596,110.0372,27.417648808462907,122.65533347333722
50,110.312500,18.750000,436,930,299059.161019,Hainan,18.79532,110.38975,9.567571353783393,117.18800949991582
52,108.750000,19.000000,437,925,1478392.437862,Hainan,19.09614,108.65367,14.72398595362158,0.21375089871637976
53,109.062500,19.000000,437,926,997507.410244,Hainan,18.74986,109.17361,30.171227214380718,66.99434394778905
54,109.375000,19.000000,437,927,753724.789501,Hainan,19.22492,109.45152,26.270394509506538,35.620486811329194
55,109.687500,19.000000,437,928,415586.495501,Hainan,19.03334,109.83839,16.28996276508245,60.60461577781999
56,110.000000,19.000000,437,929,415586.495501,Hainan,19.03334,109.83839,17.38923685125402,60.60461577781999
57,110.312500,19.000000,437,930,1618557.430534,Hainan,18.79532,110.38975,24.166798222712313,117.18800949991582
59,108.750000,19.250000,438,925,3538040.682839,Hainan,19.09614,108.65367,19.876062540484693,0.21375089871637976
60,109.062500,19.250000,438,926,3538040.682839,Hainan,19.29828,109.05559,5.417263386413955,48.03145885252907
61,109.375000,19.250000,438,927,120378.325271,Hainan,19.22492,109.45152,8.503806611088065,35.620486811329194
62,109.687500,19.250000,438,928,3127594.292733,Hainan,19.22492,109.45152,24.931043513922425,35.620486811329194
63,110.000000,19.250000,438,929,834712.976556,Hainan,19.35182,110.10347,15.68744004098725,57.94853785596767
64,110.312500,19.250000,438,930,1903069.951179,Hainan,19.25838,110.47464,17.04617028289063,92.02546715538288
65,110.625000,19.250000,438,931,1903069.951179,Hainan,19.25838,110.47464,15.811555696674866,92.02546715538288
67,109.062500,19.500000,439,926,3582534.474780,Hainan,19.29828,109.05559,22.441945867285348,48.03145885252907
68,109.375000,19.500000,439,927,2778557.098808,Hainan,19.52093,109.58069,21.68365945656918,0.02598780620189512
69,109.687500,19.500000,439,928,1845551.820196,Hainan,19.52093,109.58069,11.434130321578454,0.02598780620189512
70,110.000000,19.500000,439,929,2307028.607702,Hainan,19.35182,110.10347,19.728594202905388,57.94853785596767
71,110.312500,19.500000,439,930,2307028.607702,Hainan,19.68121,110.3593,20.73750085505793,43.713588799124736
72,110.625000,19.500000,439,931,2245684.539328,Hainan,19.54329,110.79774,18.732681476794347,83.86478525610325
75,109.375000,19.750000,440,927,4101129.616832,Hainan,19.52093,109.58069,33.35920752889529,0.02598780620189512
76,109.687500,19.750000,440,928,4811263.445091,Hainan,19.91243,109.69077,18.064630432415804,45.006796959839164
77,110.000000,19.750000,440,929,3797902.039141,Hainan,19.73849,110.00487,1.3776074787713024,39.535767400303776
78,110.312500,19.750000,440,930,3797902.039141,Hainan,19.68121,110.3593,9.083367157205702,43.713588799124736
79,110.625000,19.750000,440,931,3977256.846390,Hainan,19.68121,110.3593,28.84521918667353,43.713588799124736
80,110.937500,19.750000,440,932,4278969.033301,Hainan,19.54329,110.79774,27.249293064166167,83.86478525610325
82,109.687500,20.000000,441,928,5609872.895622,Hainan,19.91243,109.69077,9.743335900659808,45.006796959839164
84,110.312500,20.000000,441,930,4520066.778952,Hainan,20.0076,110.29357,2.1508997491513235,10.745262359599652
85,110.625000,20.000000,441,931,4107917.057867,Hainan,20.02864,110.36663,27.18157815686273,17.6680685443116
86,110.937500,20.000000,441,932,4663124.775598,Hainan,19.54329,110.79774,52.847621287663046,83.86478525610325
89,110.312500,20.250000,442,930,1147660.807051,Guangdong,20.32652,110.17502,16.673159084825873,106.72340057805238
92,110.000000,20.500000,443,929,1147660.807051,Guangdong,20.32652,110.17502,26.547606963461313,106.72340057805238
93,110.312500,20.500000,443,930,1147660.807051,Guangdong,20.32652,110.17502,24.028576591612783,106.72340057805238
96,110.000000,20.750000,444,929,70381.049677,Guangdong,20.91444,110.09651,20.855105391873103,48.09432874152775
97,110.312500,20.750000,444,930,2843680.257437,Guangdong,20.91444,110.09651,28.951686490950458,48.09432874152775
101,109.062500,21.000000,445,926,38653.938583,Guangxi,21.44872,109.13916,50.52413517581611,4.128966115409237
103,109.687500,21.000000,445,928,921973.322693,Guangdong,20.91444,110.09651,43.523765186243075,48.09432874152775
104,110.000000,21.000000,445,929,921973.322693,Guangdong,20.91444,110.09651,13.818242871464024,48.09432874152775
105,110.312500,21.000000,445,930,3563383.239944,Guangdong,21.19169,110.39821,23.095258021272663,9.664322630932203
