左云京能内蒙古乌兰察布凉城49.5兆瓦风电项目,风电,2016/4/8,2016,49.5,112.5166667,40.51666667,并网,内蒙古自治区,乌兰察布市,凉城县,岱海镇,左云京能内蒙古乌兰察布凉城49.5兆瓦风电项目,陆上集中式,已并网,内蒙古自治区,乌兰察布市,凉城县,左云京能风力发电有限责任公司,京能,2014-09-09,2016-03-01,2016-02-28,2016-04-08,2016,49.5,风电
左权县芹泉风电项目,风电,,,100,112.7662862,37.66633605,核准,山西省,晋中市,榆次区,郭家堡乡,左权县芹泉风电项目,陆上集中式,在建,山西省,晋中市,左权县,太原重工股份有限公司,其它投资企业,2018-12-28,2020-03-27,,,,,风电
遵义县仙人山风电场项目,风电,2015/10/26,2015,49.3,106.8826041,27.58963511,并网,贵州省,遵义市,播州区,桂花桥街道,遵义县仙人山风电场项目,陆上集中式,已并网,贵州省,遵义市,遵义县,贵州粤电遵义风能有限公司,粤电集团,2014-03-12,2014-11-01,2015-10-25,2015-10-27,2015,49.3,风电
遵义洪关太阳坪风电场项目,风电,2015/12/21,2015,48,106.8724241,27.65373458,并网,贵州省,遵义市,红花岗区,忠庄街道,遵义洪关太阳坪风电场项目,陆上集中式,已并网,贵州省,遵义市,遵义县,遵义桂冠风力发电有限公司,大唐,2012-12-24,2015-04-01,2015-12-08,2015-12-23,2015,48,风电
邹城赛维太阳能生态园发展有限公司晋中市左权县邹城赛维左权县光伏发电项目5万kw光伏电站,光伏,,,50,113.385452,37.088555,核准,山西省,晋中市,左权县,辽阳镇,邹城赛维太阳能生态园发展有限公司晋中市左权县邹城赛维左权县光伏发电项目5万KW光伏电站,光伏电站,核准未开工,山西省,晋中市,左权县,邹城赛维太阳能生态园发展有限公司,邹城赛维太阳能生态园发展有限公司,2019-10-30,,,,,,光伏
资源金紫山风电场工程项目,风电,2011/9/22,2011,49.5,110.5727407,25.82709137,并网,广西壮族自治区,济宁市,邹城市,大束镇,资源金紫山风电场工程项目,陆上集中式,已并网,广西壮族自治区,桂林市,资源县,中电投广西金紫山风电有限公司,中电投,2008-12-16,2011-08-01,2010-08-13,2011-09-22,2010,49.5,风电
资源金紫山风电场工程项目,风电,2011/9/22,2011,49.5,110.5727407,25.82709137,并网,广西壮族自治区,济宁市,邹城市,大束镇,资源金紫山风电场二期工程项目,陆上集中式,已并网,广西壮族自治区,桂林市,资源县,中电投广西金紫山风电有限公司,中电投,2011-05-30,2012-12-01,2012-08-06,2012-10-01,2012,49.5,风电
资源金紫山风电场二期工程项目,风电,2012/8/6,2012,49.5,110.6010177,25.81583453,并网,广西壮族自治区,克孜勒苏柯尔克孜自治州,乌恰县,黑孜苇乡,资源金紫山风电场工程项目,陆上集中式,已并网,广西壮族自治区,桂林市,资源县,中电投广西金紫山风电有限公司,中电投,2008-12-16,2011-08-01,2010-08-13,2011-09-22,2010,49.5,风电
资源金紫山风电场二期工程项目,风电,2012/8/6,2012,49.5,110.6010177,25.81583453,并网,广西壮族自治区,克孜勒苏柯尔克孜自治州,乌恰县,黑孜苇乡,资源金紫山风电场二期工程项目,陆上集中式,已并网,广西壮族自治区,桂林市,资源县,中电投广西金紫山风电有限公司,中电投,2011-05-30,2012-12-01,2012-08-06,2012-10-01,2012,49.5,风电
紫峙县砂河镇风电项目,风电,,,100,112.7211217,38.41882375,规划,山西省,忻州市,忻府区,新建路街道,繁峙县砂河镇风电项目,陆上集中式,在建,山西省,忻州市,繁峙县,繁峙县能裕风力发电有限公司,,2018-12-27,2020-04-02,,,,,风电
紫金广发公司河源市紫金县广州发展紫金好义40MW农业光伏项目4万kW光伏电站,光伏,,,40,115.190448,23.64143,核准,广东省,河源市,紫金县,紫城镇,紫金广发公司河源市紫金县广州发展紫金好义40MW农业光伏项目4万KW光伏电站,光伏电站,在建,广东省,河源市,紫金县,紫金广发农业光伏有限公司,广州发展集团股份有限公司,2017-09-11,2019-10-01,,,,,光伏
子洲县枝银农业科技有限公司19.8MW光伏电站项目,光伏,,,19.8,110.1422222,37.36666667,核准,陕西省,榆林市,清涧县,石咀驿镇,子洲县枝银农业科技有限公司19.8MW光伏电站项目,光伏电站,在建,陕西省,榆林市,子洲县,子洲县枝银农业科技有限公司,其它投资企业,2018-01-08,2019-04-01,,,,19.8,光伏
