Anhui,2791.139241
Beijing,546.4135021
Chongqing,487.3417722
EastInnerMongolia,118.1434599
Fujian,886.0759494
Gansu,147.6793249
Guangdong,3632.911392
Guangxi,2658.227848
Guizhou,383.9662447
Hainan,118.1434599
Hebei,1314.345992
Heilongjiang,1698.312236
Henan,1270.042194
Hubei,1358.649789
Hunan,1181.434599
Jiangsu,2997.890295
Jiangxi,767.9324895
Jilin,1092.827004
Liaoning,561.1814346
Ningxia,147.6793249
Qinghai,0
Shaanxi,324.8945148
Shandong,4400.843882
Shanghai,635.021097
Shanxi,708.8607595
Sichuan,989.4514768
Tianjin,236.2869198
WestInnerMongolia,221.5189873
Xinjiang,118.1434599
Xizang,29.53586498
Yunnan,251.0548523
Zhejiang,2924.050633
