Anhui,140
Beijing,11190
Chongqing,1680
Fujian,3910
Gansu,120
Guangdong,19630
Guangxi,1800
Guizhou,0
Hainan,730
Hebei,1200
Heilongjiang,120
Henan,2290
Hubei,940
Hunan,1000
Jiangsu,15020
Jiangxi,120
Jilin,60
Liaoning,300
Ningxia,700
Qinghai,4
Shaanxi,600
Shandong,3500
Shanghai,8000
Shanxi,3170
Sichuan,1260
Tianjin,5600
Xinjiang,830
Xizang,0
Yunnan,200
Zhejiang,12590
EastInnerMongolia,99.06
WestInnerMongolia,320.94
