lat,lon,provin
36.50227,113.38722,Shanxi
36.11567,113.20733,Shanxi
36.12222,112.87795,Shanxi
36.8378,112.86387,Shanxi
36.75608,112.69907,Shanxi
36.5001,112.33762,Shanxi
36.33418,113.22893,Shanxi
35.50154,112.85352,Shanxi
35.69015,112.1866,Shanxi
35.48618,112.41491,Shanxi
35.77512,113.28061,Shanxi
35.50043,112.94366,Shanxi
35.79807,112.92358,Shanxi
39.31918,112.43314,Shanxi
39.51238,112.28832,Shanxi
39.52625,112.81572,Shanxi
39.55401,113.19095,Shanxi
39.98913,112.46705,Shanxi
39.82788,113.10012,Shanxi
37.69978,112.70746,Shanxi
37.07084,112.97522,Shanxi
37.08243,113.37926,Shanxi
37.32905,113.56972,Shanxi
37.61282,113.70718,Shanxi
37.89498,113.17666,Shanxi
37.42119,112.55126,Shanxi
37.35775,112.33507,Shanxi
37.18934,112.17557,Shanxi
36.84788,111.77879,Shanxi
37.0271,111.91672,Shanxi
35.01505,110.99817,Shanxi
35.14471,110.77408,Shanxi
35.41534,110.83781,Shanxi
35.35663,111.22472,Shanxi
35.60401,110.98311,Shanxi
35.61622,111.2247,Shanxi
35.49146,111.56878,Shanxi
35.29762,111.67025,Shanxi
35.14136,111.22031,Shanxi
34.83467,111.19474,Shanxi
34.69365,110.69442,Shanxi
34.86716,110.44773,Shanxi
35.59643,110.71186,Shanxi
38.40429,112.74619,Shanxi
38.47348,112.95722,Shanxi
38.72812,113.2554,Shanxi
39.06689,112.95996,Shanxi
39.18904,113.26547,Shanxi
39.00147,112.3045,Shanxi
38.35924,111.93875,Shanxi
39.09059,112.21077,Shanxi
38.91071,111.84701,Shanxi
38.70427,111.57296,Shanxi
39.38456,111.13837,Shanxi
39.02265,111.08625,Shanxi
39.43613,111.50869,Shanxi
38.73051,112.71092,Shanxi
36.08329,111.57776,Shanxi
35.64105,111.4757,Shanxi
35.73823,111.71836,Shanxi
35.87618,111.44189,Shanxi
36.25374,111.67496,Shanxi
36.26661,111.9205,Shanxi
36.14781,112.25013,Shanxi
35.96802,111.84952,Shanxi
36.09789,110.68162,Shanxi
35.97053,110.84721,Shanxi
36.46511,110.75285,Shanxi
36.69344,110.94049,Shanxi
36.75952,110.63198,Shanxi
36.41179,111.09648,Shanxi
36.65295,111.56365,Shanxi
35.61908,111.37213,Shanxi
36.56879,111.75505,Shanxi
37.51761,111.15081,Shanxi
37.43843,112.0285,Shanxi
37.55165,112.15478,Shanxi
38.46242,111.1276,Shanxi
37.95106,110.99208,Shanxi
37.42902,110.88937,Shanxi
36.99857,110.83469,Shanxi
38.27939,111.67195,Shanxi
37.8947,111.24396,Shanxi
37.3572,111.17953,Shanxi
36.98217,111.18107,Shanxi
37.14534,111.77903,Shanxi
37.26542,111.78777,Shanxi
40.85844,111.66345,WestInnerMongolia
40.80772,111.62299,WestInnerMongolia
40.75319,111.67543,WestInnerMongolia
40.79195,111.70171,WestInnerMongolia
40.72957,111.16358,WestInnerMongolia
40.27744,111.19421,WestInnerMongolia
40.37859,111.82083,WestInnerMongolia
39.90892,111.68639,WestInnerMongolia
41.0965,111.45118,WestInnerMongolia
40.57643,110.04317,WestInnerMongolia
40.64178,109.83859,WestInnerMongolia
40.64559,109.90241,WestInnerMongolia
40.67204,110.27227,WestInnerMongolia
41.76943,109.97372,WestInnerMongolia
40.61009,109.96718,WestInnerMongolia
40.56883,110.52421,WestInnerMongolia
41.03412,110.0607,WestInnerMongolia
41.69854,110.43261,WestInnerMongolia
39.69184,106.8226,WestInnerMongolia
39.44096,106.89157,WestInnerMongolia
39.5058,106.72609,WestInnerMongolia
42.26581,118.95927,EastInnerMongolia
42.03888,119.28862,EastInnerMongolia
42.02856,118.91238,EastInnerMongolia
43.87244,120.06556,EastInnerMongolia
43.97094,119.37961,EastInnerMongolia
43.53391,118.66466,EastInnerMongolia
43.61702,118.0558,EastInnerMongolia
43.26624,117.54421,EastInnerMongolia
42.93483,119.00669,EastInnerMongolia
41.92718,118.70273,EastInnerMongolia
41.59426,119.34308,EastInnerMongolia
42.29073,119.92168,EastInnerMongolia
43.62244,122.25615,EastInnerMongolia
44.12659,123.31216,EastInnerMongolia
42.93511,122.35674,EastInnerMongolia
43.60005,121.3189,EastInnerMongolia
42.73504,121.81073,EastInnerMongolia
42.86729,120.65779,EastInnerMongolia
44.55631,120.91159,EastInnerMongolia
45.53141,119.66359,EastInnerMongolia
39.82127,109.96144,WestInnerMongolia
40.40016,110.03293,WestInnerMongolia
39.86426,111.23987,WestInnerMongolia
38.18239,107.47743,WestInnerMongolia
39.08989,107.9776,WestInnerMongolia
39.83352,108.73497,WestInnerMongolia
38.60388,108.81769,WestInnerMongolia
39.56442,109.74811,WestInnerMongolia
49.21336,119.73572,EastInnerMongolia
48.12582,123.45944,EastInnerMongolia
48.47711,124.51936,EastInnerMongolia
50.59158,123.72577,EastInnerMongolia
49.14678,119.75542,EastInnerMongolia
49.32837,119.42429,EastInnerMongolia
48.21819,118.26995,EastInnerMongolia
48.67191,116.82355,EastInnerMongolia
49.59655,117.37836,EastInnerMongolia
49.28563,120.71174,EastInnerMongolia
48.01365,122.73761,EastInnerMongolia
50.24315,120.17962,EastInnerMongolia
50.78046,121.5204,EastInnerMongolia
40.76645,107.38683,WestInnerMongolia
41.08879,108.2673,WestInnerMongolia
40.33056,107.00864,WestInnerMongolia
40.73662,108.65224,WestInnerMongolia
41.56746,108.52647,WestInnerMongolia
41.08414,107.07481,WestInnerMongolia
40.88594,107.15114,WestInnerMongolia
40.9906,113.12401,WestInnerMongolia
40.89417,112.57785,WestInnerMongolia
41.90479,114.01089,WestInnerMongolia
41.5621,113.57718,WestInnerMongolia
40.8719,113.83396,WestInnerMongolia
40.53165,112.50387,WestInnerMongolia
40.78585,113.21095,WestInnerMongolia
41.27747,112.63544,WestInnerMongolia
41.43589,113.19222,WestInnerMongolia
41.53316,111.70658,WestInnerMongolia
40.43574,113.11056,WestInnerMongolia
46.07282,122.09316,EastInnerMongolia
47.1771,119.94381,EastInnerMongolia
46.07955,121.95275,EastInnerMongolia
45.06056,121.47694,EastInnerMongolia
46.72279,122.8998,EastInnerMongolia
45.38282,121.59408,EastInnerMongolia
43.64305,111.95238,EastInnerMongolia
43.93339,116.08608,EastInnerMongolia
44.02272,114.95034,EastInnerMongolia
43.85921,113.66737,EastInnerMongolia
42.74694,112.65746,EastInnerMongolia
45.5096,116.97215,EastInnerMongolia
44.58716,117.60899,EastInnerMongolia
41.87732,115.28305,EastInnerMongolia
42.23232,113.84751,EastInnerMongolia
42.28722,115.03077,EastInnerMongolia
42.24162,115.99239,EastInnerMongolia
42.20303,116.48571,EastInnerMongolia
38.83343,105.66626,WestInnerMongolia
39.21536,101.66711,WestInnerMongolia
