lat,lon
39.92855,116.41637
39.91231,116.36611
39.80956,116.47433
39.85856,116.28616
39.90569,116.22299
39.95933,116.29845
39.94048,116.10146
39.74788,116.14294
39.90998,116.65714
40.13012,116.65477
40.22077,116.23128
39.72684,116.34159
40.316,116.63177
40.14062,117.12141
40.37625,116.84317
40.45678,115.97503
39.11712,117.2147
39.12827,117.25228
39.10954,117.22336
39.13815,117.15011
39.14784,117.19674
39.16734,117.15161
39.08652,117.31428
39.14111,117.00739
38.9375,117.3571
39.22393,117.13544
39.38326,117.04412
39.71755,117.30983
39.0032,117.71071
39.33076,117.82474
38.94737,116.97428
40.04577,117.40829
38.04276,114.5143
39.63048,118.18058
39.93545,119.59964
36.62556,114.53918
37.07055,114.50443
38.87396,115.46459
40.82444,114.88755
40.9515,117.9634
38.30441,116.83869
39.02177,116.75638
37.73886,115.67054
37.87059,112.55067
40.07637,113.30001
37.85668,113.58047
36.19581,113.11649
35.49039,112.85113
39.33159,112.43181
37.68702,112.75278
35.02628,111.00699
38.4167,112.73418
36.08822,111.51962
37.51934,111.14165
40.84149,111.75199
40.65781,109.84021
39.65384,106.79546
42.2586,118.88894
43.65247,122.24469
39.60845,109.78087
49.21163,119.76584
40.74317,107.38773
40.99391,113.13376
46.08208,122.03818
43.9332,116.04775
38.85153,105.72898
41.80563,123.43236
41.10777,122.9946
41.87971,123.95722
41.29413,123.76686
39.9998,124.35601
41.09515,121.12703
40.66683,122.2349
42.02166,121.67011
41.26809,123.23736
41.11996,122.07078
42.2862,123.84241
41.57347,120.4508
40.711,120.83699
43.83784,126.54944
43.16646,124.35036
42.88805,125.14368
41.72829,125.9399
41.9408,126.42443
45.1411,124.82515
45.6196,122.83871
42.89119,129.5091
45.80216,126.5358
47.35431,123.91796
45.29524,130.96954
47.34989,130.29785
46.64658,131.1591
46.58758,125.10307
47.72752,128.84049
46.80019,130.3206
45.77065,131.00306
44.55269,129.63244
50.24523,127.52852
46.65246,126.96932
51.92398,124.59216
31.23162,121.48461
31.18826,121.43687
31.22024,121.42394
31.22352,121.45591
31.2494,121.397
31.24718,121.4595
31.26451,121.50515
31.25956,121.52609
31.11325,121.38206
31.40527,121.48941
31.37482,121.26621
31.22114,121.54409
30.74185,121.34242
31.03241,121.22654
31.14979,121.12426
30.91803,121.4741
31.6229,121.3973
31.84178,118.50467
31.49099,120.31237
34.2044,117.28577
31.81072,119.97365
31.29834,120.58319
31.97958,120.89371
34.59669,119.22295
33.61016,119.01595
33.34951,120.16164
32.39358,119.41269
32.18959,119.425
32.45546,119.92554
33.96193,118.27549
29.87386,121.55027
27.99492,120.69939
30.74501,120.7555
30.89305,120.08805
30.03033,120.5802
29.07812,119.64759
28.93592,118.87419
29.98539,122.20778
28.65611,121.42056
28.4672,119.92293
31.82057,117.22901
31.35246,118.43313
32.91548,117.38932
32.62549,116.9998
31.67067,118.50611
33.67078,116.92622
30.90887,117.7422
30.54294,117.06354
29.71517,118.33866
32.30181,118.31683
32.88963,115.81495
33.64614,116.96391
31.73488,116.52324
33.84461,115.77931
30.66469,117.49142
30.94078,118.75866
26.07421,119.29647
24.47951,118.08948
25.454,119.00771
26.26385,117.63922
24.87389,118.67587
24.51347,117.64725
26.64152,118.17783
25.07504,117.01722
26.66571,119.54819
28.68202,115.85794
29.26869,117.17839
27.62289,113.85427
29.70548,116.00146
27.81776,114.91713
28.26019,117.06919
25.83109,114.93476
27.11382,114.99376
27.81443,114.41612
27.94781,116.35809
28.45463,117.94357
36.66529,116.99493
36.06623,120.38299
36.8131,118.0548
34.81071,117.32196
37.43365,118.67466
37.46353,121.44801
36.70686,119.16176
35.41459,116.58724
36.19994,117.0884
37.51348,122.12171
35.41646,119.52719
36.21359,117.67667
35.10465,118.35646
37.4355,116.35927
36.45702,115.98549
37.38211,117.97279
35.23363,115.48115
34.74725,113.62493
34.79726,114.30731
34.61812,112.45361
33.76609,113.19241
36.09771,114.3931
35.747,114.29745
35.30323,113.92675
35.21563,113.24201
35.89516,115.49869
34.0357,113.85233
33.58149,114.01681
34.77261,111.2003
32.99073,112.52851
34.41427,115.65635
32.14714,114.09279
33.62583,114.69695
33.01142,114.02299
35.06707,112.60273
30.19953,115.0389
32.61577,110.18734
30.69186,111.28642
32.009,112.12255
30.39085,114.89495
31.03546,112.19945
30.92483,113.91645
30.33479,112.24069
30.45347,114.87238
29.84126,114.32245
31.69013,113.38262
30.27217,109.48817
30.36251,113.4545
30.40147,112.8993
30.66339,113.16614
31.74457,110.67556
28.22778,112.93886
27.82767,113.13396
27.82975,112.94411
26.89324,112.57195
27.2389,111.4677
29.35728,113.12919
29.03158,111.69854
29.11667,110.47839
28.55391,112.35516
25.77063,113.01485
26.42034,111.61225
27.56974,110.0016
27.69728,111.99458
28.31173,109.73893
24.81039,113.59723
22.27073,113.57668
23.3535,116.68221
23.02185,113.12192
22.57865,113.08161
21.27134,110.35894
21.66329,110.92523
23.0469,112.46528
23.11075,114.41679
24.28844,116.12264
22.78566,115.37514
23.74365,114.70065
21.85829,111.98256
23.68201,113.05615
23.02069,113.75181
22.51595,113.3926
23.6567,116.62296
23.54972,116.37271
22.91525,112.04453
22.81673,108.3669
