,resource,gen_pwh,gen_share
0,l1_ccs,0.0,0.0
1,l1_chp,0.0,0.0
2,l1_unabated,3.435005651972884,0.23131351191736574
3,l4_ccs,0.0,0.0
4,l4_unabated,0.05694000547916618,0.0038343438033108506
5,l2,1.6254386058848884,0.10945714517743348
6,l3,1.5235629146150387,0.10259682926700589
7,wind,5.215387309035088,0.35120453259495515
8,solar,2.8580366780641078,0.19246038236121923
9,bio,0.24535008000000005,0.0165218909090909
10,re_share,,0.5436649149561744
11,clean_share,,0.7722407803097047
12,wind_curtail,0.102,
13,solar_curtail,0.0823,
14,total_gen,14.959721245051174,
15,total_demand,14.850000000000012,
