,province,cap_total_mw,cap_unabated_mw,cap_ccs_mw
0,Anhui,47075.0,47075.0,0
1,Beijing,0.0,0.0,0
2,Chongqing,11524.0,11524.0,0
3,EastInnerMongolia,31532.0,31532.0,0
4,Fujian,22751.0,22751.0,0
5,Gansu,18390.0,18390.0,0
6,Guangdong,44022.2,44022.2,0
7,Guangxi,18915.0,18915.0,0
8,Guizhou,52940.0,52940.0,0
9,Hainan,3060.0,3060.0,0
10,Hebei,46950.0,46950.0,0
11,Heilongjiang,19071.0,19071.0,0
12,Henan,47320.0,47320.0,0
13,Hubei,24023.0,24023.0,0
14,Hunan,15299.0,15299.0,0
15,Jiangsu,38639.0,38639.0,0
16,Jiangxi,9225.0,9225.0,0
17,Jilin,14575.0,14575.0,0
18,Liaoning,28310.0,28310.0,0
19,Ningxia,22830.0,22830.0,0
20,Qinghai,3160.0,3160.0,0
21,Shaanxi,43460.0,43460.0,0
22,Shandong,83080.0,83080.0,0
23,Shanghai,7130.0,7130.0,0
24,Shanxi,62571.0,62571.0,0
25,Sichuan,7555.0,7555.0,0
26,Tianjin,9624.0,9624.0,0
27,WestInnerMongolia,63190.0,63190.0,0
28,Xinjiang,71848.0,71848.0,0
29,Xizang,0.0,0.0,0
30,Yunnan,7300.0,7300.0,0
31,Zhejiang,21505.8,21505.8,0
