,province,cap_total_mw,cap_unabated_mw,cap_ccs_mw
0,Anhui,40365.0,40365.0,0
1,Beijing,0.0,0.0,0
2,Chongqing,11524.0,11524.0,0
3,EastInnerMongolia,24712.0,24712.0,0
4,Fujian,22051.0,22051.0,0
5,Gansu,16750.0,16750.0,0
6,Guangdong,39822.2,39822.2,0
7,Guangxi,15075.0,15075.0,0
8,Guizhou,43340.0,43340.0,0
9,Hainan,3060.0,3060.0,0
10,Hebei,41950.0,41950.0,0
11,Heilongjiang,16551.0,16551.0,0
12,Henan,41360.0,41360.0,0
13,Hubei,21463.0,21463.0,0
14,Hunan,14879.0,14879.0,0
15,Jiangsu,33499.0,33499.0,0
16,Jiangxi,9225.0,9225.0,0
17,Jilin,14135.0,14135.0,0
18,Liaoning,26900.0,26900.0,0
19,Ningxia,20910.0,20910.0,0
20,Qinghai,3160.0,3160.0,0
21,Shaanxi,35900.0,35900.0,0
22,Shandong,77625.0,77625.0,0
23,Shanghai,5780.0,5780.0,0
24,Shanxi,52160.0,52160.0,0
25,Sichuan,7225.0,7225.0,0
26,Tianjin,9624.0,9624.0,0
27,WestInnerMongolia,54670.0,54670.0,0
28,Xinjiang,71188.0,71188.0,0
29,Xizang,0.0,0.0,0
30,Yunnan,7300.0,7300.0,0
31,Zhejiang,17785.8,17785.8,0
