Tracker ID,TrackerLOC,ParentID,Wiki page,Country,"Subnational unit (province, state)",Unit,Plant,Chinese Name,Other names,Sponsor,Parent,Capacity (MW),Status,Year,RETIRED,Planned Retire,Combustion technology,Coal type,Coal source,Location,"Local area (taluk, county)","Major area (prefecture, district)",Region,Latitude,Longitude,Accuracy,Permits,Captive,Captive industry use,Captive residential use,Heat rate (Btu per kWh),Emission factor (kg of CO2 per TJ),Capacity factor,Annual CO2 (million tonnes / annum),Lifetime CO2,Remaining plant lifetime (years),resource,final_end_year,final_start_year,age_at_2030,lifetime_remain,CO2_reduction,ttl_CO2_reduction,retrofit_year
G102034,L101316,P100233,https://www.gem.wiki/Datang_Dongying_power_station,China,Shandong,Datang Dongying 2,Datang Dongying power station,大唐东营发电公司一期,NA,Datang Shandong Power Gen Co,China Datang,1000,operating,2020,NA,NA,ultra-super,unknown,NA,Dongying Port,Hekou District,Dongying,East Asia,38.113151,118.910229,exact,2015-8-11,NA,NA,NA,8272,96100,51.00%,3.7,146.1,39,coal,2050,2020,10,27,3.2560000000000002,87.912,2040
G102102,L100354,P100233,https://www.gem.wiki/Datang_Leizhou_power_station,China,Guangdong,Datang Leizhou power station Unit 2,Datang Leizhou power station,大唐国际雷州电厂上大压小新建项目,NA,Datang International Power Generation Co 34%; Datang Huayin Power Co 33.00%; China Datang 30%; 雷州市培财基础设施建设有限公司 3%,China Datang,1000,operating,2020,NA,NA,ultra-super,unknown,NA,"Gangcai Village, Wushi Town",Leizhou,Zhanjiang,East Asia,20.51161,109.82803,exact,2015-1-13,NA,NA,NA,8272,96100,51.00%,3.7,146.1,39,coal,2050,2020,10,27,3.2560000000000002,87.912,2040
G102941,L100318,P102137,https://www.gem.wiki/Gansu_Electric_Guazhou_Changle_power_station,China,Gansu,Gansu Electric Guazhou Changle power station Unit 1,Gansu Electric Guazhou Changle power station,甘肃电投常乐发电公司一期,NA,Gansu Electric Power Investment Co Ltd,Gansu Electric Power Investment Group,1000,operating,2020,NA,NA,ultra-super,unknown,NA,Bulongji Xiang,Guazhou,Jiuquan,East Asia,40.6599,96.513,exact,2016-8-15,NA,NA,NA,8272,96100,51.00%,3.7,146.1,39,coal,2050,2020,10,27,3.2560000000000002,87.912,2040
G102942,L100318,P102137,https://www.gem.wiki/Gansu_Electric_Guazhou_Changle_power_station,China,Gansu,Gansu Electric Guazhou Changle power station Unit 2,Gansu Electric Guazhou Changle power station,甘肃电投常乐发电公司一期,NA,Gansu Electric Power Investment Co Ltd,Gansu Electric Power Investment Group,1000,operating,2020,NA,NA,ultra-super,unknown,NA,Bulongji Xiang,Guazhou,Jiuquan,East Asia,40.6599,96.513,exact,2016-8-15,NA,NA,NA,8272,96100,51.00%,3.7,146.1,39,coal,2050,2020,10,27,3.2560000000000002,87.912,2040
G105138,L100680,P102057,https://www.gem.wiki/Jiaozuo_Danhe_power_station,China,Henan,Jiaozuo Danhe-2 No 2,Jiaozuo Danhe power station,国家电投河南电力沁阳分公司,国家电投焦作丹河电厂上大压小异地扩建项目,"SPIC Henan Electric Power Co, Ltd.100%",State Power Investment Corporation,1000,operating,2020,NA,NA,ultra-super,unknown,NA,Xiwan Town Xiaoweiying Villege,Qinyang,Jiaozuo,East Asia,35.188487,112.887561,exact,2015-7-31,NA,NA,NA,8272,96100,51.00%,3.7,146.1,39,coal,2050,2020,10,27,3.2560000000000002,87.912,2040
G106643,L100392,P100584,https://www.gem.wiki/Maoming_Bohe_power_station,China,Guangdong,Maoming Bohe 1,Maoming Bohe power station,粤电博贺煤电公司一期,NA,"Guangdong Electric Power Development Co (65%), Guangzhou Development Group (25%), 汕尾市国有资产经营管理中心 (10%)",Guangdong Yudean Group,1000,operating,2020,NA,NA,ultra-super,unknown,NA,Diancheng Town,Dianbai,Maoming,East Asia,21.441033,111.289628,exact,2020-1,NA,NA,NA,8272,96100,51.00%,3.7,146.1,39,coal,2050,2020,10,27,3.2560000000000002,87.912,2040
G106644,L100392,P100584,https://www.gem.wiki/Maoming_Bohe_power_station,China,Guangdong,Maoming Bohe 2,Maoming Bohe power station,粤电博贺煤电公司一期,NA,"Guangdong Electric Power Development Co (65%), Guangzhou Development Group (25%), 汕尾市国有资产经营管理中心 (10%)",Guangdong Yudean Group,1000,operating,2020,NA,NA,ultra-super,unknown,NA,Diancheng Town,Dianbai,Maoming,East Asia,21.441033,111.289628,exact,2020-1,NA,NA,NA,8272,96100,51.00%,3.7,146.1,39,coal,2050,2020,10,27,3.2560000000000002,87.912,2040
G108892,L100707,Q200562,https://www.gem.wiki/SDIC_Neixiang_power_station,China,Henan,SDIC Neixiang unit 1,SDIC Neixiang power station,中誉国信南阳发电公司,国投南阳发电公司内乡煤电一体化电厂,Zhongyu Guoxin Investment Co (中誉国信投资有限公司) 49%; Henan Huachen Power Group (河南华晨电力集团有限公司) 43.04%; Neixiang County Investment Holding Co (内乡县投资控股有限责任公司） 7.6%,"Zhongyu Guoxin Energy (49%), Yongtai Group (43%), Neixiang County Investment Holding (8%)",1000,operating,2020,NA,NA,ultra-super,unknown,NA,"Tuandong Town, Dongwanggou Village",Neixiang,Nanyang,East Asia,33.086416,111.90004,exact,2015-7-31,NA,NA,NA,8272,96100,51.00%,3.7,146.1,39,coal,2050,2020,10,27,3.2560000000000002,87.912,2040
G109117,L100948,P101276,https://www.gem.wiki/Shanneng_Shenglu_power_station,China,Inner Mongolia,Shanneng Shenglu power station unit 1,Shanneng Shenglu power station,山东能源上海庙盛鲁电厂,NA,Shandong Energy Group,Shandong Energy Group,1000,operating,2020,NA,NA,ultra-super,unknown,NA,Shanghaimiao Town,Otog Front Banner,Ordos,East Asia,38.373756,106.782583,exact,2016-07-01,NA,NA,NA,8272,96100,51.00%,3.7,146.1,39,coal,2050,2020,10,27,3.2560000000000002,87.912,2040
G109118,L100948,P101276,https://www.gem.wiki/Shanneng_Shenglu_power_station,China,Inner Mongolia,Shanneng Shenglu power station unit 2,Shanneng Shenglu power station,山东能源上海庙盛鲁电厂,NA,Shandong Energy Group,Shandong Energy Group,1000,operating,2020,NA,NA,ultra-super,unknown,NA,Shanghaimiao Town,Otog Front Banner,Ordos,East Asia,38.373756,106.782583,exact,2016-07-01,NA,NA,NA,8272,96100,51.00%,3.7,146.1,39,coal,2050,2020,10,27,3.2560000000000002,87.912,2040
