,province,cap_total_mw,cap_unabated_mw,cap_ccs_mw
0,Anhui,19880.0,1930.0,17950.0
1,Beijing,0.0,0.0,0.0
2,Chongqing,5934.0,2404.0,3530.0
3,EastInnerMongolia,15152.0,3582.0,11570.0
4,Fujian,4465.0,1765.0,2700.0
5,Gansu,8180.0,2310.0,5870.0
6,Guangdong,13935.0,2535.0,11400.0
7,Guangxi,9380.0,4010.0,5370.0
8,Guizhou,13770.0,2590.0,11180.0
9,Hainan,1400.0,700.0,700.0
10,Hebei,20164.0,5814.0,14350.0
11,Heilongjiang,8256.0,3286.0,4970.0
12,Henan,14910.0,3170.0,11740.0
13,Hubei,8100.0,2310.0,5790.0
14,Hunan,2064.0,804.0,1260.0
15,Jiangsu,8295.0,1575.0,6720.0
16,Jiangxi,4185.0,225.0,3960.0
17,Jilin,5884.0,3454.0,2430.0
18,Liaoning,9650.0,5890.0,3760.0
19,Ningxia,10040.0,910.0,9130.0
20,Qinghai,2020.0,700.0,1320.0
21,Shaanxi,17860.0,4230.0,13630.0
22,Shandong,46342.0,12622.0,33720.0
23,Shanghai,2600.0,100.0,2500.0
24,Shanxi,30120.0,7170.0,22950.0
25,Sichuan,2295.0,165.0,2130.0
26,Tianjin,3190.0,1210.0,1980.0
27,WestInnerMongolia,20240.0,8750.0,11490.0
28,Xinjiang,47908.0,11708.0,36200.0
29,Xizang,0.0,0.0,0.0
30,Yunnan,2400.0,0.0,2400.0
31,Zhejiang,4315.0,1075.0,3240.0
