,province,cap_total_mw,cap_unabated_mw,cap_ccs_mw
0,Anhui,27495.0,27495.0,0
1,Beijing,0.0,0.0,0
2,Chongqing,8824.0,8824.0,0
3,EastInnerMongolia,19322.0,19322.0,0
4,Fujian,12451.0,12451.0,0
5,Gansu,16310.0,16310.0,0
6,Guangdong,33288.0,33288.0,0
7,Guangxi,13875.0,13875.0,0
8,Guizhou,24260.0,24260.0,0
9,Hainan,3060.0,3060.0,0
10,Hebei,36010.0,36010.0,0
11,Heilongjiang,13636.0,13636.0,0
12,Henan,32760.0,32760.0,0
13,Hubei,15320.0,15320.0,0
14,Hunan,7794.0,7794.0,0
15,Jiangsu,25964.0,25964.0,0
16,Jiangxi,9005.0,9005.0,0
17,Jilin,12845.0,12845.0,0
18,Liaoning,23790.0,23790.0,0
19,Ningxia,17730.0,17730.0,0
20,Qinghai,3160.0,3160.0,0
21,Shaanxi,27140.0,27140.0,0
22,Shandong,71496.0,71496.0,0
23,Shanghai,4290.0,4290.0,0
24,Shanxi,48660.0,48660.0,0
25,Sichuan,6895.0,6895.0,0
26,Tianjin,7237.0,7237.0,0
27,WestInnerMongolia,45620.0,45620.0,0
28,Xinjiang,53148.0,53148.0,0
29,Xizang,0.0,0.0,0
30,Yunnan,7300.0,7300.0,0
31,Zhejiang,11845.8,11845.8,0
