,resource,gen_pwh,gen_share
0,l1_ccs,0.0,0.0
1,l1_chp,0.0,0.0
2,l1_unabated,3.434697162794124,0.23687566639959456
3,l4_ccs,0.0,0.0
4,l4_unabated,0.05694000780094142,0.003926897089720095
5,l2,1.6253684558819865,0.11209437626772313
6,l3,1.5229900946913546,0.10503379963388644
7,wind,4.996803349088659,0.34460712752335554
8,solar,2.7251449345633776,0.18794102996988798
9,bio,0.24535008000000005,0.016920695172413784
10,re_share,,0.5325481574932436
11,clean_share,,0.7665970285672669
12,wind_curtail,0.0964,
13,solar_curtail,0.0818,
14,total_gen,14.607294084820444,
15,total_demand,14.50000000000001,
