,province,cap_total_mw,cap_unabated_mw,cap_ccs_mw
0,Anhui,23175.0,5115.0,18060.0
1,Beijing,0.0,0.0,0.0
2,Chongqing,7804.0,4624.0,3180.0
3,EastInnerMongolia,18412.0,8152.0,10260.0
4,Fujian,10065.0,4665.0,5400.0
5,Gansu,13175.0,9510.0,3665.0
6,Guangdong,25890.0,7910.0,17980.0
7,Guangxi,11555.0,7235.0,4320.0
8,Guizhou,17920.0,10240.0,7680.0
9,Hainan,2760.0,700.0,2060.0
10,Hebei,30114.0,19054.0,11060.0
11,Heilongjiang,11456.0,8586.0,2870.0
12,Henan,23350.0,8880.0,14470.0
13,Hubei,9750.0,5090.0,4660.0
14,Hunan,3724.0,2464.0,1260.0
15,Jiangsu,12852.0,4662.0,8190.0
16,Jiangxi,5825.0,835.0,4990.0
17,Jilin,10724.0,5944.0,4780.0
18,Liaoning,19305.0,12945.0,6360.0
19,Ningxia,15270.0,4960.0,10310.0
20,Qinghai,3160.0,1840.0,1320.0
21,Shaanxi,22860.0,14090.0,8770.0
22,Shandong,58841.0,36586.0,22255.0
23,Shanghai,3200.0,700.0,2500.0
24,Shanxi,39110.0,29330.0,9780.0
25,Sichuan,5295.0,2295.0,3000.0
26,Tianjin,5350.0,2710.0,2640.0
27,WestInnerMongolia,37230.0,24850.0,12380.0
28,Xinjiang,51928.0,31798.0,20130.0
29,Xizang,0.0,0.0,0.0
30,Yunnan,4800.0,4100.0,700.0
31,Zhejiang,8837.0,3797.0,5040.0
