,province,cap_gw_ub
0,Anhui,2.02
1,Beijing,7.312
2,Chongqing,6.390000000000001
3,EastInnerMongolia,0.0
4,Fujian,0.0
5,Gansu,0.0
6,Guangdong,79.32351999999993
7,Guangxi,0.48000000000000004
8,Guizhou,0.0
9,Hainan,7.518000000000001
10,Hebei,3.7059999999999995
11,Heilongjiang,0.16
12,Henan,2.5000000000000004
13,Hubei,1.3786
14,Hunan,2.9800000000000004
15,Jiangsu,23.599
16,Jiangxi,0.0
17,Jilin,0.83
18,Liaoning,0.0
19,Ningxia,0.8
20,Qinghai,0.0
21,Shaanxi,0.0
22,Shandong,13.687999999999997
23,Shanghai,5.961400000000001
24,Shanxi,2.008
25,Sichuan,11.646999999999997
26,Tianjin,5.846000000000001
27,WestInnerMongolia,0.0
28,Xinjiang,0.0
29,Xizang,0.0
30,Yunnan,0.0
31,Zhejiang,15.824219999999999
