,province,cap_total_mw,cap_unabated_mw,cap_ccs_mw
0,Anhui,8345.0,4605.0,3740.0
1,Beijing,0.0,0.0,0.0
2,Chongqing,4924.0,3974.0,950.0
3,EastInnerMongolia,13162.0,5472.0,7690.0
4,Fujian,4965.0,2565.0,2400.0
5,Gansu,11350.0,2790.0,8560.0
6,Guangdong,12218.0,6068.0,6150.0
7,Guangxi,7865.0,5255.0,2610.0
8,Guizhou,15980.0,8880.0,7100.0
9,Hainan,1660.0,1000.0,660.0
10,Hebei,23274.0,6254.0,17020.0
11,Heilongjiang,8936.0,3786.0,5150.0
12,Henan,16750.0,6570.0,10180.0
13,Hubei,5930.0,2140.0,3790.0
14,Hunan,3364.0,2164.0,1200.0
15,Jiangsu,13404.0,4844.0,8560.0
16,Jiangxi,1435.0,1135.0,300.0
17,Jilin,7650.0,6990.0,660.0
18,Liaoning,14350.0,9190.0,5160.0
19,Ningxia,7420.0,1960.0,5460.0
20,Qinghai,1840.0,1240.0,600.0
21,Shaanxi,16370.0,7730.0,8640.0
22,Shandong,48156.0,23116.0,25040.0
23,Shanghai,800.0,200.0,600.0
24,Shanxi,34560.0,11240.0,23320.0
25,Sichuan,3195.0,1065.0,2130.0
26,Tianjin,4027.0,1410.0,2617.0
27,WestInnerMongolia,32740.0,18190.0,14550.0
28,Xinjiang,37538.0,12928.0,24610.0
29,Xizang,0.0,0.0,0.0
30,Yunnan,5600.0,0.0,5600.0
31,Zhejiang,5991.0,2691.0,3300.0
