,province,cap_total_mw,cap_unabated_mw,cap_ccs_mw
0,Anhui,25305.0,25305.0,0
1,Beijing,0.0,0.0,0
2,Chongqing,8884.0,8884.0,0
3,EastInnerMongolia,14932.0,14932.0,0
4,Fujian,7651.0,7651.0,0
5,Gansu,16750.0,16750.0,0
6,Guangdong,31738.0,31738.0,0
7,Guangxi,13875.0,13875.0,0
8,Guizhou,19640.0,19640.0,0
9,Hainan,3060.0,3060.0,0
10,Hebei,36790.0,36790.0,0
11,Heilongjiang,14751.0,14751.0,0
12,Henan,28760.0,28760.0,0
13,Hubei,14183.0,14183.0,0
14,Hunan,8519.0,8519.0,0
15,Jiangsu,29119.0,29119.0,0
16,Jiangxi,7905.0,7905.0,0
17,Jilin,14135.0,14135.0,0
18,Liaoning,23840.0,23840.0,0
19,Ningxia,17070.0,17070.0,0
20,Qinghai,1840.0,1840.0,0
21,Shaanxi,28040.0,28040.0,0
22,Shandong,69805.0,69805.0,0
23,Shanghai,5780.0,5780.0,0
24,Shanxi,48500.0,48500.0,0
25,Sichuan,6025.0,6025.0,0
26,Tianjin,8424.0,8424.0,0
27,WestInnerMongolia,44230.0,44230.0,0
28,Xinjiang,50728.0,50728.0,0
29,Xizang,0.0,0.0,0
30,Yunnan,7300.0,7300.0,0
31,Zhejiang,10465.8,10465.8,0
