,province,cap_total_mw,cap_unabated_mw,cap_ccs_mw
0,Anhui,4690.0,60.0,4630.0
1,Beijing,0.0,0.0,0.0
2,Chongqing,2754.0,110.0,2644.0
3,EastInnerMongolia,9992.0,0.0,9992.0
4,Fujian,2665.0,200.0,2465.0
5,Gansu,6820.0,0.0,6820.0
6,Guangdong,4635.0,30.0,4605.0
7,Guangxi,5420.0,60.0,5360.0
8,Guizhou,6090.0,0.0,6090.0
9,Hainan,700.0,0.0,700.0
10,Hebei,13954.0,180.0,13774.0
11,Heilongjiang,5386.0,105.0,5281.0
12,Henan,5600.0,0.0,5600.0
13,Hubei,4795.0,250.0,4545.0
14,Hunan,804.0,0.0,804.0
15,Jiangsu,3325.0,0.0,3325.0
16,Jiangxi,225.0,100.0,125.0
17,Jilin,3784.0,310.0,3474.0
18,Liaoning,8950.0,240.0,8710.0
19,Ningxia,4060.0,150.0,3910.0
20,Qinghai,700.0,0.0,700.0
21,Shaanxi,10080.0,250.0,9830.0
22,Shandong,33142.0,1160.0,31982.0
23,Shanghai,100.0,0.0,100.0
24,Shanxi,22860.0,0.0,22860.0
25,Sichuan,495.0,0.0,495.0
26,Tianjin,1910.0,0.0,1910.0
27,WestInnerMongolia,13370.0,390.0,12980.0
28,Xinjiang,32148.0,0.0,32148.0
29,Xizang,0.0,0.0,0.0
30,Yunnan,1700.0,0.0,1700.0
31,Zhejiang,1675.0,60.0,1615.0
