,province,cap_total_mw,cap_unabated_mw,cap_ccs_mw
0,Anhui,2720.0,60.0,2660.0
1,Beijing,0.0,0.0,0.0
2,Chongqing,784.0,0.0,784.0
3,EastInnerMongolia,6992.0,0.0,6992.0
4,Fujian,1315.0,250.0,1065.0
5,Gansu,3750.0,0.0,3750.0
6,Guangdong,2330.0,30.0,2300.0
7,Guangxi,3940.0,60.0,3880.0
8,Guizhou,4740.0,0.0,4740.0
9,Hainan,0.0,0.0,0.0
10,Hebei,9734.0,180.0,9554.0
11,Heilongjiang,1911.0,305.0,1606.0
12,Henan,2970.0,0.0,2970.0
13,Hubei,2720.0,320.0,2400.0
14,Hunan,804.0,0.0,804.0
15,Jiangsu,2770.0,175.0,2595.0
16,Jiangxi,185.0,60.0,125.0
17,Jilin,2924.0,464.0,2460.0
18,Liaoning,6560.0,430.0,6130.0
19,Ningxia,3050.0,150.0,2900.0
20,Qinghai,350.0,0.0,350.0
21,Shaanxi,6000.0,300.0,5700.0
22,Shandong,14736.0,1715.0,13021.0
23,Shanghai,0.0,0.0,0.0
24,Shanxi,12760.0,0.0,12760.0
25,Sichuan,330.0,0.0,330.0
26,Tianjin,960.0,0.0,960.0
27,WestInnerMongolia,7170.0,230.0,6940.0
28,Xinjiang,11303.0,240.0,11063.0
29,Xizang,0.0,0.0,0.0
30,Yunnan,1400.0,0.0,1400.0
31,Zhejiang,615.0,30.0,585.0
